load_time
13.30259
k,sig_time
0,0.34676
1,0.30285
2,0.27477
3,0.30447
4,0.29857
5,0.26376
6,0.27212
7,0.26305
8,0.30477
9,0.26761
10,0.30202
11,0.31837
12,0.39627
13,0.28522
14,0.27771
15,0.30553
16,0.28972
17,0.30469
18,0.30108
19,0.31168
20,0.38069
21,0.33332
22,0.30578
23,0.27074
24,0.2904
25,0.25351
26,0.29026
27,0.38275
28,0.19969
29,0.30426
30,0.33306
31,0.29974
32,0.29569
33,0.3314
34,0.2754
35,0.31191
36,0.29278
37,0.25489
38,0.29784
39,0.31025
40,0.25831
41,0.27855
42,0.28428
43,0.26597
44,0.31913
45,0.29968
46,0.26957
47,0.28732
48,0.27015
49,0.31951
50,0.30513
51,0.28566
52,0.34862
53,0.30865
54,0.28737
55,0.27549
56,0.26524
57,0.29989
58,0.25368
59,0.32071
60,0.2585
61,0.28196
62,0.33294
63,0.30037
64,0.26424
65,0.28258
66,0.25357
67,0.2931
68,0.31487
69,0.28232
70,0.29047
71,0.27597
72,0.31039
73,0.29844
74,0.2777
75,0.29868
76,0.27299
77,0.28469
78,0.3206
79,0.28338
80,0.32071
81,0.40816
82,0.27843
83,0.31725
84,0.29773
85,0.2407
86,0.26908
87,0.32758
88,0.30417
89,0.29639
90,0.27238
91,0.31252
92,0.2947
93,0.3034
94,0.30765
95,0.28342
96,0.28388
97,0.32384
98,0.31104
99,0.29456
