name of the signature,size of the module
0,77
1,12
2,41
3,28
4,24
5,103
6,74
7,41
8,16
9,63
10,60
11,23
12,36
13,38
14,117
15,47
16,98
17,84
18,10
19,39
20,9
21,48
22,112
23,11
24,9
25,4
26,41
27,25
28,12
29,99
30,19
31,60
32,2
33,48
34,71
35,4
36,134
37,2
38,6
39,28
40,103
41,97
42,8
43,2
44,123
45,0
46,51
47,15
48,4
49,0
50,116
51,79
52,49
53,67
54,44
55,16
56,36
57,8
58,18
59,9
60,67
61,66
62,33
63,36
64,78
65,39
66,33
67,83
68,48
69,66
70,20
71,79
72,52
73,78
74,88
75,55
76,187
77,104
78,26
79,91
80,22
81,33
82,25
83,13
84,235
85,49
86,106
87,49
88,199
89,83
90,47
91,65
92,102
93,27
94,72
95,10
96,31
97,76
98,164
99,87
