load_time
13.26711
k,sig_time
0,0.28626
1,0.29236
2,0.30204
3,0.32174
4,0.28401
5,0.29659
6,0.29351
7,0.19785
8,0.27138
9,0.27303
10,0.27765
11,0.28525
12,0.28457
13,0.25758
14,0.26431
15,0.27546
16,0.27311
17,0.31178
18,0.30233
19,0.2863
20,0.29625
21,0.29807
22,0.2728
23,0.29208
24,0.27922
25,0.29081
26,0.27239
27,0.25644
28,0.3074
29,0.31655
30,0.28503
31,0.26514
32,0.28886
33,0.28987
34,0.17993
35,0.28008
36,0.27776
37,0.26838
38,0.26019
39,0.32083
40,0.33924
41,0.31697
42,0.30954
43,0.29931
44,0.30053
45,0.36689
46,0.28676
47,0.31534
48,0.29752
49,0.24784
50,0.2493
51,0.25928
52,0.30628
53,0.31738
54,0.30441
55,0.30971
56,0.27086
57,0.29629
58,0.34696
59,0.30278
60,0.29785
61,0.32451
62,0.3114
63,0.23625
64,0.16798
65,0.28821
66,0.25205
67,0.31635
68,0.28276
69,0.27109
70,0.28354
71,0.32443
72,0.30304
73,0.26784
74,0.26152
75,0.27945
76,0.2988
77,0.27463
78,0.29785
79,0.47963
80,0.30126
81,0.26418
82,0.31954
83,0.2975
84,0.17567
85,0.31334
86,0.29457
87,0.26378
88,0.28994
89,0.35014
90,0.31386
91,0.27764
92,0.25394
93,0.27877
94,0.25051
95,0.30364
96,0.3296
97,0.33729
98,0.30059
99,0.28077
