Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0-1,35.75,72,1760
0-2,35.75,72,1760
0-3,35.75,72,1760
0-4,35.75,72,1760
0-5,35.75,72,1760
0-6,35.75,72,1760
0-7,35.75,72,1760
0-8,35.75,72,1760
0-9,35.75,72,1760
0-10,35.75,72,1760
1-1,29.74206349206349,68,9072
1-2,29.74206349206349,68,9072
1-3,29.74206349206349,68,9072
1-4,29.74206349206349,68,9072
1-5,29.74206349206349,68,9072
1-6,29.74206349206349,68,9072
1-7,29.74206349206349,68,9072
1-8,29.74206349206349,68,9072
1-9,29.74206349206349,68,9072
1-10,29.74206349206349,68,9072
2-1,9.0,9,1
2-2,9.0,9,1
2-3,9.0,9,1
2-4,9.0,9,1
2-5,9.0,9,1
2-6,9.0,9,1
2-7,9.0,9,1
2-8,9.0,9,1
2-9,9.0,9,1
2-10,9.0,9,1
3-1,11.0,12,2
3-2,11.0,12,2
3-3,11.0,12,2
3-4,11.0,12,2
3-5,11.0,12,2
3-6,11.0,12,2
3-7,11.0,12,2
3-8,11.0,12,2
3-9,11.0,12,2
3-10,11.0,12,2
4-1,8.0,13,3
4-2,8.0,13,3
4-3,8.0,13,3
4-4,8.0,13,3
4-5,8.0,13,3
4-6,8.0,13,3
4-7,8.0,13,3
4-8,8.0,13,3
4-9,8.0,13,3
4-10,8.0,13,3
5-1,19.362068965517242,45,522
5-2,19.362068965517242,45,522
5-3,19.362068965517242,45,522
5-4,19.362068965517242,45,522
5-5,19.362068965517242,45,522
5-6,19.362068965517242,45,522
5-7,19.362068965517242,45,522
5-8,19.362068965517242,45,522
5-9,19.362068965517242,45,522
5-10,19.362068965517242,45,522
6,NA,NA,NA
7-1,53.0,62,8
7-2,53.0,62,8
7-3,53.0,62,8
7-4,53.0,62,8
7-5,53.0,62,8
7-6,53.0,62,8
7-7,53.0,62,8
7-8,53.0,62,8
7-9,53.0,62,8
7-10,53.0,62,8
8-1,15.562770562770563,59,1617
8-2,15.562770562770563,59,1617
8-3,15.562770562770563,59,1617
8-4,15.562770562770563,59,1617
8-5,15.562770562770563,59,1617
8-6,15.562770562770563,59,1617
8-7,15.562770562770563,59,1617
8-8,15.562770562770563,59,1617
8-9,15.562770562770563,59,1617
8-10,15.562770562770563,59,1617
9-1,26.333333333333332,29,3
9-2,26.333333333333332,29,3
9-3,26.333333333333332,29,3
9-4,26.333333333333332,29,3
9-5,26.333333333333332,29,3
9-6,26.333333333333332,29,3
9-7,26.333333333333332,29,3
9-8,26.333333333333332,29,3
9-9,26.333333333333332,29,3
9-10,26.333333333333332,29,3
10-1,15.333333333333334,18,3
10-2,15.333333333333334,18,3
10-3,15.333333333333334,18,3
10-4,15.333333333333334,18,3
10-5,15.333333333333334,18,3
10-6,15.333333333333334,18,3
10-7,15.333333333333334,18,3
10-8,15.333333333333334,18,3
10-9,15.333333333333334,18,3
10-10,15.333333333333334,18,3
11-1,32.0,33,2
11-2,32.0,33,2
11-3,32.0,33,2
11-4,32.0,33,2
11-5,32.0,33,2
11-6,32.0,33,2
11-7,32.0,33,2
11-8,32.0,33,2
11-9,32.0,33,2
11-10,32.0,33,2
12-1,75.79166666666667,103,1536
12-2,75.79166666666667,103,1536
12-3,75.79166666666667,103,1536
12-4,75.79166666666667,103,1536
12-5,75.79166666666667,103,1536
12-6,75.79166666666667,103,1536
12-7,75.79166666666667,103,1536
12-8,75.79166666666667,103,1536
12-9,75.79166666666667,103,1536
12-10,75.79166666666667,103,1536
13-1,12.3,50,800
13-2,12.3,50,800
13-3,12.3,50,800
13-4,12.3,50,800
13-5,12.3,50,800
13-6,12.3,50,800
13-7,12.3,50,800
13-8,12.3,50,800
13-9,12.3,50,800
13-10,12.3,50,800
14-1,46.142857142857146,67,63
14-2,46.142857142857146,67,63
14-3,46.142857142857146,67,63
14-4,46.142857142857146,67,63
14-5,46.142857142857146,67,63
14-6,46.142857142857146,67,63
14-7,46.142857142857146,67,63
14-8,46.142857142857146,67,63
14-9,46.142857142857146,67,63
14-10,46.142857142857146,67,63
15-1,9.666666666666666,13,3
15-2,9.666666666666666,13,3
15-3,9.666666666666666,13,3
15-4,9.666666666666666,13,3
15-5,9.666666666666666,13,3
15-6,9.666666666666666,13,3
15-7,9.666666666666666,13,3
15-8,9.666666666666666,13,3
15-9,9.666666666666666,13,3
15-10,9.666666666666666,13,3
16-1,2.0,2,1
16-2,2.0,2,1
16-3,2.0,2,1
16-4,2.0,2,1
16-5,2.0,2,1
16-6,2.0,2,1
16-7,2.0,2,1
16-8,2.0,2,1
16-9,2.0,2,1
16-10,2.0,2,1
17-1,3.0,6,4
17-2,3.0,6,4
17-3,3.0,6,4
17-4,3.0,6,4
17-5,3.0,6,4
17-6,3.0,6,4
17-7,3.0,6,4
17-8,3.0,6,4
17-9,3.0,6,4
17-10,3.0,6,4
18-1,7.0,11,3
18-2,7.0,11,3
18-3,7.0,11,3
18-4,7.0,11,3
18-5,7.0,11,3
18-6,7.0,11,3
18-7,7.0,11,3
18-8,7.0,11,3
18-9,7.0,11,3
18-10,7.0,11,3
19-1,3.0,3,1
19-2,3.0,3,1
19-3,3.0,3,1
19-4,3.0,3,1
19-5,3.0,3,1
19-6,3.0,3,1
19-7,3.0,3,1
19-8,3.0,3,1
19-9,3.0,3,1
19-10,3.0,3,1
20-1,13.11111111111111,27,72
20-2,13.11111111111111,27,72
20-3,13.11111111111111,27,72
20-4,13.11111111111111,27,72
20-5,13.11111111111111,27,72
20-6,13.11111111111111,27,72
20-7,13.11111111111111,27,72
20-8,13.11111111111111,27,72
20-9,13.11111111111111,27,72
20-10,13.11111111111111,27,72
21-1,29.025316455696203,62,711
21-2,29.025316455696203,62,711
21-3,29.025316455696203,62,711
21-4,29.025316455696203,62,711
21-5,29.025316455696203,62,711
21-6,29.025316455696203,62,711
21-7,29.025316455696203,62,711
21-8,29.025316455696203,62,711
21-9,29.025316455696203,62,711
21-10,29.025316455696203,62,711
22,NA,NA,NA
23-1,24.916666666666668,42,192
23-2,24.916666666666668,42,192
23-3,24.916666666666668,42,192
23-4,24.916666666666668,42,192
23-5,24.916666666666668,42,192
23-6,24.916666666666668,42,192
23-7,24.916666666666668,42,192
23-8,24.916666666666668,42,192
23-9,24.916666666666668,42,192
23-10,24.916666666666668,42,192
24-1,16.5,33,156
24-2,16.5,33,156
24-3,16.5,33,156
24-4,16.5,33,156
24-5,16.5,33,156
24-6,16.5,33,156
24-7,16.5,33,156
24-8,16.5,33,156
24-9,16.5,33,156
24-10,16.5,33,156
25-1,13.4,20,10
25-2,13.4,20,10
25-3,13.4,20,10
25-4,13.4,20,10
25-5,13.4,20,10
25-6,13.4,20,10
25-7,13.4,20,10
25-8,13.4,20,10
25-9,13.4,20,10
25-10,13.4,20,10
26-1,39.25,67,1536
26-2,39.25,67,1536
26-3,39.25,67,1536
26-4,39.25,67,1536
26-5,39.25,67,1536
26-6,39.25,67,1536
26-7,39.25,67,1536
26-8,39.25,67,1536
26-9,39.25,67,1536
26-10,39.25,67,1536
27-1,18.178904428904428,66,6864
27-2,18.178904428904428,66,6864
