Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,1,15,26,30
0,2,15,26,30
0,3,15,26,30
0,4,15,26,30
0,5,15,26,30
0,6,15,26,30
0,7,15,26,30
0,8,15,26,30
0,9,15,26,30
0,10,15,26,30
1,1,14,28,48
1,2,14,28,48
1,3,14,28,48
1,4,14,28,48
1,5,14,28,48
1,6,14,28,48
1,7,14,28,48
1,8,14,28,48
1,9,14,28,48
1,10,14,28,48
2,1,6,12,6
2,2,6,12,6
2,3,6,12,6
2,4,6,12,6
2,5,6,12,6
2,6,6,12,6
2,7,6,12,6
2,8,6,12,6
2,9,6,12,6
2,10,6,12,6
3,1,26,56,4320
3,2,26,56,4320
3,3,26,56,4320
3,4,26,56,4320
3,5,26,56,4320
3,6,26,56,4320
3,7,26,56,4320
3,8,26,56,4320
3,9,26,56,4320
3,10,26,56,4320
4,1,48,63,64
4,2,48,63,64
4,3,48,63,64
4,4,48,63,64
4,5,48,63,64
4,6,48,63,64
4,7,48,63,64
4,8,48,63,64
4,9,48,63,64
4,10,48,63,64
5,1,23,40,144
5,2,23,40,144
5,3,23,40,144
5,4,23,40,144
5,5,23,40,144
5,6,23,40,144
5,7,23,40,144
5,8,23,40,144
5,9,23,40,144
5,10,23,40,144
6,1,39,57,150
6,2,39,57,150
6,3,39,57,150
6,4,39,57,150
6,5,39,57,150
6,6,39,57,150
6,7,39,57,150
6,8,39,57,150
6,9,39,57,150
6,10,39,57,150
7,1,21,86,6605
7,2,21,86,6605
7,3,21,86,6605
7,4,21,86,6605
7,5,21,86,6605
7,6,21,86,6605
7,7,21,86,6605
7,8,21,86,6605
7,9,21,86,6605
7,10,21,86,6605
8,1,9,25,11
8,2,9,25,11
8,3,9,25,11
8,4,9,25,11
8,5,9,25,11
8,6,9,25,11
8,7,9,25,11
8,8,9,25,11
8,9,9,25,11
8,10,9,25,11
9,1,9,13,2
9,2,9,13,2
9,3,9,13,2
9,4,9,13,2
9,5,9,13,2
9,6,9,13,2
9,7,9,13,2
9,8,9,13,2
9,9,9,13,2
9,10,9,13,2
10,1,15,21,3
10,2,15,21,3
10,3,15,21,3
10,4,15,21,3
10,5,15,21,3
10,6,15,21,3
10,7,15,21,3
10,8,15,21,3
10,9,15,21,3
10,10,15,21,3
11,1,38,59,1080
11,2,38,59,1080
11,3,38,59,1080
11,4,38,59,1080
11,5,38,59,1080
11,6,38,59,1080
11,7,38,59,1080
11,8,38,59,1080
11,9,38,59,1080
11,10,38,59,1080
12,1,5,7,3
12,2,5,7,3
12,3,5,7,3
12,4,5,7,3
12,5,5,7,3
12,6,5,7,3
12,7,5,7,3
12,8,5,7,3
12,9,5,7,3
12,10,5,7,3
13,1,16,59,1944
13,2,16,59,1944
13,3,16,59,1944
13,4,16,59,1944
13,5,16,59,1944
13,6,16,59,1944
13,7,16,59,1944
13,8,16,59,1944
13,9,16,59,1944
13,10,16,59,1944
14,1,36,67,753
14,2,36,67,753
14,3,36,67,753
14,4,36,67,753
14,5,36,67,753
14,6,36,67,753
14,7,36,67,753
14,8,36,67,753
14,9,36,67,753
14,10,36,67,753
15,1,17,23,4
15,2,17,23,4
15,3,17,23,4
15,4,17,23,4
15,5,17,23,4
15,6,17,23,4
15,7,17,23,4
15,8,17,23,4
15,9,17,23,4
15,10,17,23,4
16,1,NA,NA,NA
17,1,18,53,2000
17,2,18,53,2000
17,3,18,53,2000
17,4,18,53,2000
17,5,18,53,2000
17,6,18,53,2000
17,7,18,53,2000
17,8,18,53,2000
17,9,18,53,2000
17,10,18,53,2000
18,1,0,0,1
18,2,0,0,1
18,3,0,0,1
18,4,0,0,1
18,5,0,0,1
18,6,0,0,1
18,7,0,0,1
18,8,0,0,1
18,9,0,0,1
18,10,0,0,1
19,1,5,10,3
19,2,5,10,3
19,3,5,10,3
19,4,5,10,3
19,5,5,10,3
19,6,5,10,3
19,7,5,10,3
19,8,5,10,3
19,9,5,10,3
19,10,5,10,3
20,1,5,8,4
20,2,5,8,4
20,3,5,8,4
20,4,5,8,4
20,5,5,8,4
20,6,5,8,4
20,7,5,8,4
20,8,5,8,4
20,9,5,8,4
20,10,5,8,4
21,1,11,32,178
21,2,11,32,178
21,3,11,32,178
21,4,11,32,178
21,5,11,32,178
21,6,11,32,178
21,7,11,32,178
21,8,11,32,178
21,9,11,32,178
21,10,11,32,178
22,1,30,40,12
22,2,30,40,12
22,3,30,40,12
22,4,30,40,12
22,5,30,40,12
22,6,30,40,12
22,7,30,40,12
22,8,30,40,12
22,9,30,40,12
22,10,30,40,12
23,1,11,17,10
23,2,11,17,10
23,3,11,17,10
23,4,11,17,10
23,5,11,17,10
23,6,11,17,10
23,7,11,17,10
23,8,11,17,10
23,9,11,17,10
23,10,11,17,10
24,1,19,25,6
24,2,19,25,6
24,3,19,25,6
24,4,19,25,6
24,5,19,25,6
24,6,19,25,6
24,7,19,25,6
24,8,19,25,6
24,9,19,25,6
24,10,19,25,6
25,1,5,6,2
25,2,5,6,2
25,3,5,6,2
25,4,5,6,2
25,5,5,6,2
25,6,5,6,2
25,7,5,6,2
25,8,5,6,2
25,9,5,6,2
25,10,5,6,2
26,1,23,47,140
26,2,23,47,140
26,3,23,47,140
26,4,23,47,140
26,5,23,47,140
26,6,23,47,140
26,7,23,47,140
26,8,23,47,140
26,9,23,47,140
26,10,23,47,140
27,1,13,15,4
27,2,13,15,4
27,3,13,15,4
27,4,13,15,4
27,5,13,15,4
27,6,13,15,4
27,7,13,15,4
27,8,13,15,4
27,9,13,15,4
27,10,13,15,4
28,1,22,25,4
28,2,22,25,4
28,3,22,25,4
28,4,22,25,4
28,5,22,25,4
28,6,22,25,4
28,7,22,25,4
28,8,22,25,4
28,9,22,25,4
28,10,22,25,4
29,1,22,47,345
29,2,22,47,345
29,3,22,47,345
29,4,22,47,345
29,5,22,47,345
29,6,22,47,345
29,7,22,47,345
29,8,22,47,345
29,9,22,47,345
29,10,22,47,345
30,1,NA,NA,NA
31,1,14,33,58
31,2,14,33,58
31,3,14,33,58
31,4,14,33,58
31,5,14,33,58
31,6,14,33,58
31,7,14,33,58
31,8,14,33,58
31,9,14,33,58
31,10,14,33,58
32,1,6,11,6
32,2,6,11,6
32,3,6,11,6
32,4,6,11,6
32,5,6,11,6
32,6,6,11,6
32,7,6,11,6
32,8,6,11,6
32,9,6,11,6
32,10,6,11,6
