Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,21.808823529411764,60,1632
1,22.655172413793103,43,58
2,9.0,9,1
3,28.25,55,432
4,10.333333333333334,19,9
5,19.485981308411215,49,321
6,27.27777777777778,36,18
7,42.390151515151516,73,4752
8,0.0,0,1
9,22.166666666666668,29,24
10,NA,NA,NA
11,9.0,16,14
12,NA,NA,NA
13,17.333333333333332,27,12
14,NA,NA,NA
15,28.25891181988743,57,4797
16,NA,NA,NA
17,NA,NA,NA
18,24.0,42,24
19,6.0,8,4
20,53.5,67,48
21,8.0,17,16
22,29.8,37,5
23,10.222222222222221,20,9
24,8.333333333333334,14,3
25,5.666666666666667,10,3
26,7.833333333333333,15,6
27,21.27777777777778,28,18
28,NA,NA,NA
29,NA,NA,NA
30,47.5,54,8
31,7.733333333333333,32,45
32,26.571428571428573,43,294
33,12.083333333333334,25,36
34,38.958333333333336,64,96
35,20.0,25,8
36,2.0,2,1
37,20.9,63,15000
38,2.0,6,5
39,18.583333333333332,42,96
40,12.0,19,4
41,7.0,8,2
42,25.166666666666668,32,6
43,14.8,33,130
44,2.3333333333333335,5,3
45,3.0,3,1
46,21.607142857142858,47,84
47,9.0,9,1
48,2.0,2,1
49,33.607142857142854,53,1008
50,17.6,35,40
51,20.021978021978022,41,273
52,3.0,3,1
53,26.333333333333332,38,27
54,15.666666666666666,19,6
55,30.235294117647058,51,68
56,9.0,9,1
57,NA,NA,NA
58,9.0,9,1
59,NA,NA,NA
60,10.166666666666666,31,72
61,5.0,9,3
62,37.15942028985507,69,6348
63,2.0,2,1
64,14.583333333333334,27,48
65,7.0,8,2
66,14.866666666666667,26,30
67,9.0,16,5
68,11.2,25,60
69,27.579545454545453,58,352
70,14.0,16,2
71,15.5,18,4
72,2.0,2,1
73,3.6,9,5
74,28.5,35,4
75,33.782051282051285,59,78
76,4.0,4,1
77,16.0,19,2
78,3.0,3,1
79,20.89516129032258,39,248
80,15.973809523809523,55,840
81,16.0,16,1
82,4.2,13,10
83,43.44444444444444,51,9
84,3.0,3,1
85,13.0,13,1
86,31.678861788617887,81,17712
87,46.333333333333336,73,432
88,30.0,32,3
89,NA,NA,NA
90,12.466666666666667,33,90
91,6.166666666666667,11,6
92,15.0,16,2
93,8.25,14,16
94,0.0,0,1
95,23.343915343915345,86,12096
96,8.0,8,1
97,0.0,0,1
98,14.0,15,2
99,18.916666666666668,30,48
