Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,NA,NA,NA
1,31.076923076923077,52,1274
2,12.0,24,18
3,26.318181818181817,37,22
4,23.22554347826087,49,1472
5,NA,NA,NA
6,19.928571428571427,40,112
7,9.0,12,3
8,NA,NA,NA
9,7.333333333333333,12,3
10,28.64666666666667,52,600
11,18.293333333333333,52,300
12,37.5,68,4320
13,18.833333333333332,30,12
14,17.5,28,12
15,20.43409490333919,52,2845
16,NA,NA,NA
17,24.0,48,1224
18,22.85,37,120
19,22.88888888888889,45,648
20,NA,NA,NA
21,27.666666666666668,50,720
22,26.34659863945578,64,17640
23,12.0,13,2
24,NA,NA,NA
25,NA,NA,NA
26,14.736514522821576,45,482
27,NA,NA,NA
28,0.0,0,1
29,29.0,39,24
30,24.790714995034758,73,8056
31,NA,NA,NA
32,27.04281291463954,88,11305
33,NA,NA,NA
34,25.113333333333333,51,900
35,30.71794871794872,65,5616
36,49.5,60,48
37,3.0,3,1
38,26.5,32,8
39,44.041666666666664,59,144
40,6.0,9,6
41,13.0,13,1
42,14.5,18,4
43,NA,NA,NA
44,NA,NA,NA
45,20.795238095238094,43,1260
46,NA,NA,NA
47,20.42222222222222,42,135
48,10.964285714285714,23,28
49,33.208333333333336,55,288
50,29.083333333333332,51,144
51,12.5,17,4
52,NA,NA,NA
53,21.333333333333332,28,9
54,NA,NA,NA
55,NA,NA,NA
56,5.0,9,3
57,11.0,15,8
58,4.0,8,3
59,35.80357142857143,65,672
60,13.930232558139535,33,43
61,9.0,9,1
62,NA,NA,NA
63,24.766666666666666,36,60
64,NA,NA,NA
65,14.73076923076923,39,78
66,8.333333333333334,13,3
67,44.86666666666667,63,120
68,57.666666666666664,71,24
69,7.0,13,9
70,NA,NA,NA
71,7.375,17,8
72,20.642857142857142,38,42
73,NA,NA,NA
74,6.0,16,12
75,23.0,33,96
76,NA,NA,NA
77,27.666666666666668,39,24
78,NA,NA,NA
79,NA,NA,NA
80,37.0,47,16
81,NA,NA,NA
82,NA,NA,NA
83,37.733333333333334,65,90
84,NA,NA,NA
85,NA,NA,NA
86,10.0,12,3
87,51.166666666666664,80,7200
88,12.0,12,1
89,30.68421052631579,54,342
90,18.8,27,5
91,22.064102564102566,47,312
92,28.92222222222222,62,900
93,NA,NA,NA
94,25.055555555555557,34,18
95,NA,NA,NA
96,6.0,6,1
97,38.0,41,4
98,48.0,77,448
99,16.607142857142858,51,560
