name of the signature,size of the module
0,46
1,35
2,63
3,111
4,37
5,71
6,39
7,0
8,20
9,19
10,14
11,10
12,15
13,13
14,26
15,43
16,19
17,69
18,32
19,49
20,46
21,24
22,43
23,36
24,29
25,39
26,10
27,3
28,33
29,95
30,9
31,15
32,45
33,17
34,0
35,39
36,28
37,8
38,20
39,106
40,86
41,55
42,31
43,29
44,73
45,96
46,26
47,91
48,30
49,3
50,1
51,8
52,26
53,114
54,70
55,50
56,5
57,27
58,144
59,87
60,48
61,69
62,92
63,1
64,0
65,31
66,14
67,83
68,21
69,16
70,22
71,53
72,33
73,17
74,1
75,24
76,46
77,31
78,9
79,241
80,46
81,27
82,78
83,78
84,0
85,47
86,32
87,20
88,47
89,131
90,43
91,53
92,11
93,18
94,18
95,102
96,92
97,80
98,26
99,36
