name of the signature,size of the module
0,13
1,81
2,29
3,13
4,84
5,49
6,19
7,55
8,11
9,46
10,49
11,18
12,99
13,72
14,30
15,59
16,133
17,38
18,2
19,41
20,26
21,25
22,11
23,94
24,219
25,123
26,110
27,47
28,102
29,104
30,62
31,49
32,0
33,5
34,46
35,28
36,52
37,4
38,77
39,47
40,93
41,65
42,15
43,76
44,86
45,10
46,104
47,12
48,74
49,70
50,15
51,19
52,137
53,51
54,20
55,40
56,17
57,31
58,5
59,109
60,8
61,9
62,27
63,12
64,48
65,31
66,76
67,46
68,27
69,113
70,10
71,0
72,28
73,65
74,0
75,20
76,56
77,4
78,89
79,195
80,67
81,52
82,56
83,93
84,59
85,6
86,48
87,28
88,1
89,50
90,27
91,0
92,37
93,178
94,5
95,117
96,30
97,5
98,10
99,52
