load_time
13.24912
k,sig_time
0,0.30281
1,0.2809
2,0.28905
3,0.28191
4,0.29102
5,0.34469
6,0.29312
7,0.29432
8,0.30524
9,0.28696
10,0.30949
11,0.28085
12,0.27746
13,0.30333
14,0.33158
15,0.30486
16,0.31933
17,0.35016
18,0.26855
19,0.27517
20,0.28489
21,0.32591
22,0.3787
23,0.28728
24,0.25467
25,0.24559
26,0.28962
27,0.28195
28,0.27822
29,0.32594
30,0.29864
31,0.31662
32,0.26293
33,0.31106
34,0.31144
35,0.25328
36,0.36952
37,0.25353
38,0.2512
39,0.26988
40,0.32186
41,0.3158
42,0.26616
43,0.27555
44,0.33152
45,0.1823
46,0.30143
47,0.2796
48,0.27097
49,0.19502
50,0.34894
51,0.30525
52,0.30116
53,0.30814
54,0.30488
55,0.25587
56,0.27484
57,0.25771
58,0.25489
59,0.2593
60,0.29304
61,0.29626
62,0.29063
63,0.27542
64,0.31679
65,0.27344
66,0.294
67,0.30318
68,0.32699
69,0.29617
70,0.27659
71,0.32859
72,0.28951
73,0.30636
74,0.34074
75,0.30081
76,0.39981
77,0.33395
78,0.28713
79,0.32763
80,0.28179
81,0.28579
82,0.27925
83,0.27312
84,0.41436
85,0.28662
86,0.33228
87,0.31298
88,0.38547
89,0.31008
90,0.29376
91,0.31518
92,0.33948
93,0.26819
94,0.31428
95,0.28466
96,0.30646
97,0.33753
98,0.36021
99,0.31368
