Signature,Iteration,Time Spent
0,1,64.03669309616089
0,2,62.84912919998169
0,3,62.82226872444153
0,4,63.38176679611206
0,5,63.302905797958374
0,6,62.761559009552
0,7,62.15019178390503
0,8,63.41818690299988
0,9,62.503005504608154
0,10,63.117302656173706
1,1,442.3611578941345
1,2,444.9084370136261
1,3,447.6713676452637
1,4,445.5553574562073
1,5,447.20903730392456
1,6,448.09471797943115
1,7,446.44223403930664
1,8,449.5996263027191
1,9,444.08112263679504
1,10,447.60411500930786
2,1,12.142200946807861
2,2,12.049013376235962
2,3,12.092147588729858
2,4,12.063876390457153
2,5,12.162514925003052
2,6,12.090369939804077
2,7,12.073113679885864
2,8,11.962039947509766
2,9,12.286433219909668
2,10,12.33397889137268
3,1,23.132229566574097
3,2,22.965818643569946
3,3,23.231033325195312
3,4,23.002129316329956
3,5,23.09852647781372
3,6,23.137934684753418
3,7,22.808547735214233
3,8,22.929765462875366
3,9,23.38807773590088
3,10,23.13969922065735
4,1,15.283573150634766
4,2,15.334366083145142
4,3,15.18232274055481
4,4,15.429847478866577
4,5,15.167033195495605
4,6,15.109726190567017
4,7,15.107789039611816
4,8,15.145202159881592
4,9,15.268892526626587
4,10,15.053543329238892
5,1,29.771443128585815
5,2,29.753321170806885
5,3,29.991661310195923
5,4,30.29615068435669
5,5,30.17635178565979
5,6,29.761090755462646
5,7,29.94797706604004
5,8,30.058680057525635
5,9,29.622197151184082
5,10,29.762243509292603
6,1,NA
7,1,94.15308403968811
7,2,95.02167296409607
7,3,96.9940197467804
7,4,95.12187647819519
7,5,95.50065064430237
7,6,95.2268795967102
7,7,95.58882927894592
7,8,92.81195640563965
7,9,94.56739664077759
7,10,97.39703917503357
8,1,118.9324049949646
8,2,118.62471413612366
8,3,117.98097229003906
8,4,117.88548612594604
8,5,120.89477372169495
8,6,117.29522037506104
8,7,119.10596203804016
8,8,119.70521259307861
8,9,121.55647087097168
8,10,118.08825087547302
9,1,43.78200626373291
9,2,42.495850563049316
9,3,44.19486689567566
9,4,42.93933296203613
9,5,44.01962995529175
9,6,42.94948077201843
9,7,43.842873334884644
9,8,43.91393566131592
9,9,43.084537744522095
9,10,44.11539387702942
10,1,18.362404346466064
10,2,18.678214073181152
10,3,18.59165859222412
10,4,18.70399522781372
10,5,18.723572731018066
10,6,18.597360372543335
10,7,18.59946370124817
10,8,18.5917809009552
10,9,18.687766790390015
10,10,18.664960384368896
11,1,51.770925760269165
11,2,51.044957876205444
11,3,51.97866630554199
11,4,52.2524790763855
11,5,51.260944843292236
11,6,51.389732122421265
11,7,52.35811400413513
11,8,51.72569942474365
11,9,52.33934211730957
11,10,51.227097272872925
12,1,90.92062830924988
12,2,91.92620801925659
12,3,90.76302766799927
12,4,90.48069787025452
12,5,91.02070736885071
12,6,91.9258873462677
12,7,91.38327980041504
12,8,91.94683361053467
12,9,90.47374701499939
12,10,89.97378897666931
13,1,50.08148550987244
13,2,49.92876100540161
13,3,49.82559013366699
13,4,49.572062969207764
13,5,49.545616149902344
13,6,49.74300193786621
13,7,49.18315100669861
13,8,49.9022753238678
13,9,49.17297387123108
13,10,50.755162715911865
14,1,77.01659989356995
14,2,77.35270166397095
14,3,77.10806012153625
14,4,77.92925643920898
14,5,77.289541721344
14,6,76.92907643318176
14,7,78.42272305488586
14,8,78.54805040359497
14,9,77.804607629776
14,10,77.95829486846924
15,1,17.54186248779297
15,2,17.601340532302856
15,3,17.52237296104431
15,4,17.530065059661865
15,5,17.547084093093872
15,6,17.467501401901245
15,7,17.536506175994873
15,8,17.502482175827026
15,9,17.819912433624268
15,10,17.74768590927124
16,1,9.37793779373169
16,2,9.451877117156982
16,3,9.42049765586853
16,4,9.304874420166016
16,5,9.495899200439453
16,6,9.75019383430481
16,7,9.645941972732544
16,8,9.555009603500366
16,9,9.645716428756714
16,10,9.612456321716309
17,1,18.978972673416138
17,2,18.620710611343384
17,3,18.763688564300537
17,4,18.934062957763672
17,5,18.981077909469604
17,6,18.92375159263611
17,7,18.791971921920776
17,8,18.872242212295532
17,9,18.66611337661743
17,10,18.696874856948853
18,1,43.471691846847534
18,2,43.76731252670288
18,3,43.69172763824463
18,4,42.98571300506592
18,5,43.896565675735474
18,6,43.666491746902466
18,7,43.86036992073059
18,8,43.379793643951416
18,9,43.07556486129761
18,10,43.26340413093567
19,1,9.717396020889282
19,2,9.55354118347168
19,3,9.670516014099121
19,4,9.506202936172485
19,5,9.607774257659912
19,6,9.684006214141846
19,7,9.527600288391113
19,8,9.610080480575562
19,9,9.604831218719482
19,10,9.719362497329712
20,1,43.91547751426697
20,2,44.208775758743286
20,3,44.69924545288086
20,4,44.81105899810791
20,5,44.685585021972656
20,6,44.69099831581116
20,7,44.79469299316406
20,8,44.373729944229126
20,9,43.909563302993774
20,10,44.048157930374146
21,1,109.43458914756775
21,2,109.46766257286072
21,3,112.42997002601624
21,4,110.06199526786804
21,5,110.94918704032898
21,6,110.16712713241577
21,7,110.52798962593079
21,8,111.30830883979797
21,9,112.14065718650818
21,10,112.38188362121582
22,1,NA
23,1,57.99882769584656
23,2,57.47392654418945
23,3,57.23367881774902
23,4,58.11813020706177
23,5,57.507174015045166
23,6,56.9486608505249
23,7,57.18505668640137
23,8,57.82160568237305
23,9,56.53475761413574
23,10,57.70702314376831
24,1,49.248008251190186
24,2,49.71889042854309
24,3,49.88264560699463
24,4,49.99415683746338
24,5,49.17768621444702
24,6,49.08164024353027
24,7,49.795006275177
24,8,48.9432897567749
24,9,49.62203764915466
24,10,50.082223653793335
25,1,28.998493194580078
25,2,28.33592653274536
25,3,28.606412410736084
25,4,28.305901288986206
25,5,28.196046113967896
25,6,28.21087908744812
25,7,28.413867473602295
25,8,28.522871017456055
25,9,28.117857933044434
25,10,28.45686936378479
26,1,53.31017208099365
26,2,53.964587688446045
26,3,52.386998891830444
26,4,52.94432330131531
26,5,53.53525161743164
26,6,53.50685691833496
26,7,53.285953760147095
26,8,53.0635781288147
26,9,53.26397085189819
26,10,53.85141110420227
27,1,162.24981999397278
27,2,160.4867467880249
27,3,160.7883038520813
27,4,160.72367024421692
27,5,161.47045588493347
27,6,161.61449670791626
27,7,160.1631200313568
27,8,160.30494141578674
27,9,161.44032382965088
27,10,161.12655186653137
28,1,12.045278549194336
28,2,12.176513195037842
28,3,11.773900985717773
28,4,11.792080640792847
28,5,11.875503540039062
28,6,11.7855224609375
28,7,11.991485834121704
28,8,12.107161045074463
28,9,12.157954216003418
28,10,11.84286093711853
29,1,21.053727388381958
29,2,20.926960945129395
29,3,21.300092220306396
29,4,20.855039358139038
29,5,21.020577430725098
29,6,20.967307806015015
29,7,21.148507833480835
29,8,20.950897693634033
29,9,21.06653380393982
29,10,20.866543769836426
30,1,NA
31,1,17.74136734008789
31,2,17.569968461990356
31,3,17.688011646270752
31,4,17.904512882232666
31,5,17.66511559486389
31,6,17.708760261535645
31,7,17.793806076049805
31,8,18.28632879257202
31,9,17.868306159973145
31,10,17.708130836486816
32,1,NA
33,1,9.635961532592773
33,2,9.703081607818604
33,3,9.875786781311035
33,4,9.853899240493774
33,5,9.79445195198059
33,6,10.036104917526245
33,7,9.770030736923218
33,8,9.714762926101685
33,9,9.93967890739441
33,10,9.6281259059906
34,1,19.28344988822937
34,2,19.133386850357056
34,3,19.020097017288208
34,4,19.333091497421265
34,5,19.302051067352295
34,6,18.861894607543945
34,7,19.055142402648926
34,8,19.06933879852295
34,9,19.140482664108276
34,10,19.204999923706055
35,1,52.79834461212158
35,2,52.68113112449646
35,3,52.491724491119385
35,4,52.4644672870636
35,5,52.83212637901306
35,6,53.39684057235718
35,7,52.989686489105225
35,8,53.15577673912048
35,9,52.83941984176636
35,10,53.89041018486023
36,1,66.36953353881836
36,2,66.37483811378479
36,3,67.01511812210083
36,4,65.93953514099121
36,5,65.49739074707031
36,6,65.71804094314575
36,7,66.14699912071228
36,8,66.57093715667725
36,9,66.20077610015869
36,10,65.94088673591614
37,1,13.663783550262451
37,2,13.459303379058838
37,3,13.547559022903442
37,4,13.727331399917603
37,5,13.424209117889404
37,6,13.533189535140991
