Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,1,25,60,1632
0,2,25,60,1632
0,3,25,60,1632
0,4,25,60,1632
0,5,25,60,1632
0,6,25,60,1632
0,7,25,60,1632
0,8,25,60,1632
0,9,25,60,1632
0,10,25,60,1632
1,1,23,44,58
1,2,23,44,58
1,3,23,44,58
1,4,23,44,58
1,5,23,44,58
1,6,23,44,58
1,7,23,44,58
1,8,23,44,58
1,9,23,44,58
1,10,23,44,58
2,1,9,9,1
2,2,9,9,1
2,3,9,9,1
2,4,9,9,1
2,5,9,9,1
2,6,9,9,1
2,7,9,9,1
2,8,9,9,1
2,9,9,9,1
2,10,9,9,1
3,1,26,55,432
3,2,26,55,432
3,3,26,55,432
3,4,26,55,432
3,5,26,55,432
3,6,26,55,432
3,7,26,55,432
3,8,26,55,432
3,9,26,55,432
3,10,26,55,432
4,1,9,19,9
4,2,9,19,9
4,3,9,19,9
4,4,9,19,9
4,5,9,19,9
4,6,9,19,9
4,7,9,19,9
4,8,9,19,9
4,9,9,19,9
4,10,9,19,9
5,1,21,53,321
5,2,21,53,321
5,3,21,53,321
5,4,21,53,321
5,5,21,53,321
5,6,21,53,321
5,7,21,53,321
5,8,21,53,321
5,9,21,53,321
5,10,21,53,321
6,1,29,38,27
6,2,29,38,27
6,3,29,38,27
6,4,29,38,27
6,5,29,38,27
6,6,29,38,27
6,7,29,38,27
6,8,29,38,27
6,9,29,38,27
6,10,29,38,27
7,1,NA,NA,NA
8,1,0,0,1
8,2,0,0,1
8,3,0,0,1
8,4,0,0,1
8,5,0,0,1
8,6,0,0,1
8,7,0,0,1
8,8,0,0,1
8,9,0,0,1
8,10,0,0,1
9,1,22,29,24
9,2,22,29,24
9,3,22,29,24
9,4,22,29,24
9,5,22,29,24
9,6,22,29,24
9,7,22,29,24
9,8,22,29,24
9,9,22,29,24
9,10,22,29,24
10,1,NA,NA,NA
11,1,11,18,14
11,2,11,18,14
11,3,11,18,14
11,4,11,18,14
11,5,11,18,14
11,6,11,18,14
11,7,11,18,14
11,8,11,18,14
11,9,11,18,14
11,10,11,18,14
12,1,NA,NA,NA
13,1,18,27,12
13,2,18,27,12
13,3,18,27,12
13,4,18,27,12
13,5,18,27,12
13,6,18,27,12
13,7,18,27,12
13,8,18,27,12
13,9,18,27,12
13,10,18,27,12
14,1,NA,NA,NA
15,1,29,59,4797
15,2,29,59,4797
15,3,29,59,4797
15,4,29,59,4797
15,5,29,59,4797
15,6,29,59,4797
15,7,29,59,4797
15,8,29,59,4797
15,9,29,59,4797
15,10,29,59,4797
16,1,NA,NA,NA
17,1,NA,NA,NA
18,1,25,42,24
18,2,25,42,24
18,3,25,42,24
18,4,25,42,24
18,5,25,42,24
18,6,25,42,24
18,7,25,42,24
18,8,25,42,24
18,9,25,42,24
18,10,25,42,24
19,1,6,8,4
19,2,6,8,4
19,3,6,8,4
19,4,6,8,4
19,5,6,8,4
19,6,6,8,4
19,7,6,8,4
19,8,6,8,4
19,9,6,8,4
19,10,6,8,4
20,1,55,70,96
20,2,55,70,96
20,3,55,70,96
20,4,55,70,96
20,5,55,70,96
20,6,55,70,96
20,7,55,70,96
