Signature,Time Spent
0,NA
1,1.7405476570129395
2,3.898343563079834
3,2.5283501148223877
4,NA
5,142.09373331069946
6,3.6060428619384766
7,2.27939510345459
8,2.038517475128174
9,61.139859437942505
10,3.1282384395599365
11,2.779040575027466
12,2.375744104385376
13,2.510660409927368
14,NA
15,1.2749061584472656
16,12.153815746307373
17,4.501957416534424
18,NA
19,1.0298612117767334
20,NA
21,2.597182512283325
22,NA
23,1.5718226432800293
24,1.6856184005737305
25,1.6658592224121094
26,2.502082586288452
27,0.9591212272644043
28,3.1290171146392822
29,29.917245626449585
30,1.0839996337890625
31,5.079080104827881
32,NA
33,3.4827117919921875
34,292.2619295120239
35,NA
36,NA
37,0.8408124446868896
38,1.1260430812835693
39,9.315464735031128
40,46.222861528396606
41,190.21110248565674
42,1.040095567703247
43,NA
44,NA
45,1.1071617603302002
46,4.5513246059417725
47,1.6791036128997803
48,0.8098158836364746
49,NA
50,NA
51,NA
52,2.778005361557007
53,NA
54,3.2622671127319336
55,1.6197340488433838
56,0.8272731304168701
57,1.5287091732025146
58,2.0637433528900146
59,1.6794986724853516
60,2.7328600883483887
61,7.631032466888428
62,2.522981882095337
63,10.42676591873169
64,13.088537454605103
65,2.4759111404418945
66,2.186174154281616
67,3.5489354133605957
68,3.4326255321502686
69,NA
70,NA
71,4.371061563491821
72,NA
73,NA
74,14.614951133728027
75,3.582211971282959
76,NA
77,NA
78,1.8250279426574707
79,2.890556573867798
80,2.164656400680542
81,NA
82,1.7711272239685059
83,1.7403297424316406
84,NA
85,1.1398684978485107
86,4.222146511077881
87,2.6262547969818115
88,NA
89,3.2742481231689453
90,2.502321243286133
91,7.359884023666382
92,NA
93,2.3108954429626465
94,3.1612236499786377
95,1.677412748336792
96,2.3466124534606934
97,NA
98,NA
99,9.658181190490723
