Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,1,NA,NA,NA
1,1,29,52,1274
1,2,29,52,1274
1,3,29,52,1274
1,4,29,52,1274
1,5,29,52,1274
1,6,29,52,1274
1,7,29,52,1274
1,8,29,52,1274
1,9,29,52,1274
1,10,29,52,1274
2,1,12,24,18
2,2,12,24,18
2,3,12,24,18
2,4,12,24,18
2,5,12,24,18
2,6,12,24,18
2,7,12,24,18
2,8,12,24,18
2,9,12,24,18
2,10,12,24,18
3,1,27,37,22
3,2,27,37,22
3,3,27,37,22
3,4,27,37,22
3,5,27,37,22
3,6,27,37,22
3,7,27,37,22
3,8,27,37,22
3,9,27,37,22
3,10,27,37,22
4,1,22,49,1472
4,2,22,49,1472
4,3,22,49,1472
4,4,22,49,1472
4,5,22,49,1472
4,6,22,49,1472
4,7,22,49,1472
4,8,22,49,1472
4,9,22,49,1472
4,10,22,49,1472
5,1,8,8,1
5,2,8,8,1
5,3,8,8,1
5,4,8,8,1
5,5,8,8,1
5,6,8,8,1
5,7,8,8,1
5,8,8,8,1
5,9,8,8,1
5,10,8,8,1
6,1,19,40,112
6,2,19,40,112
6,3,19,40,112
6,4,19,40,112
6,5,19,40,112
6,6,19,40,112
6,7,19,40,112
6,8,19,40,112
6,9,19,40,112
6,10,19,40,112
7,1,9,12,3
7,2,9,12,3
7,3,9,12,3
7,4,9,12,3
7,5,9,12,3
7,6,9,12,3
7,7,9,12,3
7,8,9,12,3
7,9,9,12,3
7,10,9,12,3
8,1,37,68,5760
8,2,37,68,5760
8,3,37,68,5760
8,4,37,68,5760
8,5,37,68,5760
8,6,37,68,5760
8,7,37,68,5760
8,8,37,68,5760
8,9,37,68,5760
8,10,37,68,5760
9,1,7,12,3
9,2,7,12,3
9,3,7,12,3
9,4,7,12,3
9,5,7,12,3
9,6,7,12,3
9,7,7,12,3
9,8,7,12,3
9,9,7,12,3
9,10,7,12,3
10,1,28,52,600
10,2,28,52,600
10,3,28,52,600
10,4,28,52,600
10,5,28,52,600
10,6,28,52,600
10,7,28,52,600
10,8,28,52,600
10,9,28,52,600
10,10,28,52,600
11,1,21,52,300
11,2,21,52,300
11,3,21,52,300
