Signature,Iteration,Time Spent
0,1,50.86678504943848
0,2,51.536662340164185
0,3,51.5789258480072
0,4,52.20460534095764
0,5,51.327030420303345
0,6,51.54238557815552
0,7,52.7987539768219
0,8,51.85245871543884
0,9,51.53809642791748
0,10,52.625611543655396
1,1,18.82848334312439
1,2,18.775985717773438
1,3,18.91043734550476
1,4,18.86769151687622
1,5,18.924072980880737
1,6,18.645155906677246
1,7,18.83932375907898
1,8,18.95990228652954
1,9,18.78283977508545
1,10,18.895738124847412
2,1,60.559362173080444
2,2,60.75808906555176
2,3,61.394229888916016
2,4,60.59671354293823
2,5,61.599514961242676
2,6,60.15508794784546
2,7,61.34941220283508
2,8,60.41805696487427
2,9,62.48649501800537
2,10,61.999706983566284
3,1,41.46768140792847
3,2,40.97465467453003
3,3,41.84074878692627
3,4,41.607784032821655
3,5,41.21543741226196
3,6,41.207688331604004
3,7,41.454732179641724
3,8,41.24979090690613
3,9,41.47567319869995
3,10,41.800586223602295
4,1,49.607325315475464
4,2,50.203267335891724
4,3,50.66157364845276
4,4,50.03070306777954
4,5,50.650041341781616
4,6,50.1328444480896
4,7,49.48657202720642
4,8,49.99886870384216
4,9,50.26483917236328
4,10,49.34731888771057
5,1,264.05687952041626
5,2,266.9315803050995
5,3,266.1220018863678
5,4,267.5225396156311
5,5,264.3695294857025
5,6,267.35381865501404
5,7,266.68169140815735
5,8,265.9351541996002
5,9,268.9204032421112
5,10,270.7246940135956
6,1,65.06065773963928
6,2,66.01359486579895
6,3,64.82322311401367
6,4,65.25738310813904
6,5,65.54080986976624
6,6,64.67085552215576
6,7,65.37452507019043
6,8,65.69341707229614
6,9,64.04989647865295
6,10,64.93486285209656
7,1,34.81379675865173
7,2,35.10674023628235
7,3,34.37968349456787
7,4,34.021180152893066
7,5,34.653963565826416
7,6,35.137115716934204
7,7,34.51662468910217
7,8,33.81834006309509
7,9,34.561362504959106
7,10,34.2514853477478
8,1,23.911941528320312
8,2,23.66208028793335
8,3,24.099056243896484
8,4,24.283438682556152
8,5,24.046597719192505
8,6,24.042792320251465
8,7,24.130621433258057
8,8,23.822402954101562
8,9,23.762657403945923
8,10,24.05847978591919
9,1,158.51806044578552
9,2,158.42697477340698
9,3,158.4561767578125
9,4,158.006174325943
9,5,157.28927946090698
9,6,160.02403903007507
9,7,157.93790769577026
9,8,158.9777889251709
9,9,157.05309104919434
9,10,158.2814164161682
10,1,70.94674944877625
10,2,72.09810614585876
10,3,71.56936311721802
10,4,70.27187514305115
10,5,71.2731032371521
10,6,70.38257002830505
10,7,71.03623843193054
10,8,70.37688255310059
10,9,71.46210169792175
10,10,71.75117087364197
11,1,48.563660860061646
11,2,47.54163098335266
11,3,47.89639949798584
11,4,47.462581634521484
11,5,48.15681767463684
11,6,46.86352324485779
11,7,47.16225290298462
11,8,47.38871145248413
11,9,48.02981972694397
11,10,47.962501525878906
12,1,30.340766429901123
12,2,30.633219480514526
12,3,30.733705759048462
12,4,30.369823455810547
12,5,30.97693133354187
12,6,30.775602340698242
12,7,30.616016149520874
12,8,30.86132287979126
12,9,30.63671064376831
12,10,30.552345037460327
13,1,44.38159728050232
13,2,44.592143058776855
13,3,44.35877251625061
13,4,44.607189655303955
13,5,44.79941487312317
13,6,44.96610736846924
13,7,44.694135665893555
13,8,45.02797508239746
13,9,44.59233832359314
13,10,44.69220209121704
14,1,NA
15,1,25.979871034622192
15,2,25.392707109451294
15,3,25.6379177570343
15,4,25.672242164611816
15,5,25.81196928024292
15,6,25.64989161491394
15,7,25.721051931381226
15,8,25.68355083465576
15,9,25.53832173347473
15,10,25.797194480895996
16,1,77.67150783538818
16,2,77.57901906967163
16,3,78.40290355682373
16,4,78.40564298629761
16,5,78.34837913513184
16,6,78.08510160446167
16,7,77.26285934448242
16,8,78.20646929740906
