Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,21,54,1710
1,7,10,4
2,18,28,60
3,5,16,25
4,24,24,1
5,50,84,3024
6,19,57,60
7,17,36,60
8,15,16,2
9,31,66,4608
10,29,53,48
11,21,21,1
12,18,31,82
13,21,34,50
14,NA,NA,NA
15,36,43,12
16,48,84,1064
17,25,52,592
18,7,10,2
19,11,13,3
20,3,3,1
21,24,37,24
22,NA,NA,NA
23,7,11,3
24,3,6,4
25,4,4,1
26,11,38,72
27,12,26,16
28,9,9,1
29,42,77,4480
30,17,17,1
31,20,46,1350
32,2,2,1
33,25,44,255
34,23,53,14076
35,4,4,1
36,NA,NA,NA
37,2,2,1
38,1,1,1
39,14,25,32
40,17,72,960
41,45,91,4158
42,2,2,1
43,2,2,1
44,42,82,24750
45,0,0,1
46,20,36,238
47,10,11,2
48,4,4,1
49,0,0,1
50,NA,NA,NA
51,NA,NA,NA
52,14,41,672
53,23,57,550
54,12,30,42
55,4,6,3
56,6,6,1
57,2,4,3
58,2,11,10
59,9,9,1
60,27,41,140
61,17,58,1152
62,23,35,16
63,16,26,36
64,27,66,570
65,10,31,30
66,13,28,20
67,42,63,80
68,37,42,10
69,21,45,1500
70,10,11,2
71,37,54,160
72,17,28,24
73,45,76,13770
74,53,76,672
75,24,44,330
76,NA,NA,NA
77,29,61,7056
78,9,15,3
79,33,60,552
80,8,22,72
81,24,29,4
82,14,18,4
83,10,13,2
84,NA,NA,NA
85,18,41,93
86,37,45,18
87,31,41,96
88,NA,NA,NA
89,32,59,425
90,25,39,60
91,14,42,805
92,NA,NA,NA
93,5,24,45
94,36,60,279
95,7,7,1
96,11,29,7
97,NA,NA,NA
98,NA,NA,NA
99,40,71,1632
