Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,37,45,20
1,22,49,2160
2,0,0,1
3,18,53,1716
4,7,12,4
5,51,79,412
6,9,26,165
7,8,8,1
8,28,46,126
9,16,25,24
10,6,6,1
11,21,38,108
12,NA,NA,NA
13,5,14,15
14,16,24,8
15,28,51,540
16,18,25,14
17,6,7,2
18,NA,NA,NA
19,16,27,28
20,5,5,1
21,NA,NA,NA
22,6,6,1
23,22,34,112
24,11,15,6
25,19,33,144
26,45,52,44
27,3,3,1
28,NA,NA,NA
29,25,33,24
30,NA,NA,NA
31,38,74,4032
32,19,33,74
33,16,48,847
34,NA,NA,NA
35,10,10,1
36,NA,NA,NA
37,11,14,2
38,35,49,128
39,NA,NA,NA
40,14,18,5
41,30,53,1056
42,8,10,3
43,13,20,13
44,NA,NA,NA
45,NA,NA,NA
46,23,49,369
47,16,49,66
48,5,9,4
49,77,105,2592
50,NA,NA,NA
51,28,38,16
52,NA,NA,NA
53,NA,NA,NA
54,24,56,1300
55,34,48,12
56,8,39,174
57,NA,NA,NA
58,NA,NA,NA
59,11,18,4
60,12,42,640
61,10,12,3
62,19,29,10
63,NA,NA,NA
64,29,45,672
65,4,4,1
66,18,62,11934
67,30,54,270
68,7,13,5
69,9,12,3
70,2,8,4
71,11,11,1
72,35,41,8
73,27,64,2700
74,NA,NA,NA
75,19,24,8
76,NA,NA,NA
77,38,74,5700
78,9,9,1
79,34,52,72
80,19,21,2
81,13,25,9
82,NA,NA,NA
83,19,35,110
84,17,69,1508
85,NA,NA,NA
86,17,28,16
87,28,32,8
88,8,10,2
89,16,27,27
90,NA,NA,NA
91,21,48,480
92,24,47,182
93,9,13,4
94,NA,NA,NA
95,NA,NA,NA
96,NA,NA,NA
97,22,35,96
98,30,52,128
99,19,37,288
