Signature,Time Spent
0,2.0560226440429688
1,2.1702349185943604
2,1.6833510398864746
3,NA
4,NA
5,2.115090847015381
6,1.9709622859954834
7,65.67615246772766
8,2.503126859664917
9,NA
10,1.7214398384094238
11,5.038015127182007
12,NA
13,5.405764818191528
14,NA
15,1.2245981693267822
16,NA
17,6.086930751800537
18,NA
19,0.8014931678771973
20,0.8897483348846436
21,2.8052730560302734
22,2.841749906539917
23,0.7708351612091064
24,2.067328453063965
25,1.4503355026245117
26,3.8776307106018066
27,1.9184110164642334
28,2.2824206352233887
29,2.4506423473358154
30,NA
31,2.2325780391693115
32,1.5920276641845703
33,1.9943108558654785
34,1.7335565090179443
35,NA
36,4.052884817123413
37,1.3074605464935303
38,1.2015366554260254
39,NA
40,NA
41,NA
42,1.744830846786499
43,0.8277204036712646
44,NA
45,2.3228557109832764
46,2.2469072341918945
47,NA
48,0.9589636325836182
49,1.7382779121398926
50,2.4142448902130127
51,22.134039402008057
52,2.0815014839172363
53,0.915076494216919
54,NA
55,NA
56,8.83286714553833
57,3.280458927154541
58,2.7839460372924805
59,1.6343903541564941
60,NA
61,0.9514949321746826
62,NA
63,1.1452112197875977
64,2.134094715118408
65,2.066223621368408
66,1.781040906906128
67,3.706873893737793
68,1.569361925125122
69,NA
70,1.3050568103790283
71,NA
72,3.432377338409424
73,2.584221124649048
74,3.413654327392578
75,NA
76,1.1504039764404297
77,NA
78,4.826958656311035
79,1.130950689315796
80,3.871591806411743
81,2.2617406845092773
82,2.2770509719848633
83,1.7966115474700928
84,0.8880987167358398
85,2.334505081176758
86,NA
87,NA
88,1.9467694759368896
89,NA
90,1.8791964054107666
91,4.478602647781372
92,2.010442018508911
93,6.1467132568359375
94,59.281264543533325
95,2.171190023422241
96,NA
97,1.2491505146026611
98,1.8447692394256592
99,NA
