Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,1,37,45,20
0,2,37,45,20
0,3,37,45,20
0,4,37,45,20
0,5,37,45,20
0,6,37,45,20
0,7,37,45,20
0,8,37,45,20
0,9,37,45,20
0,10,37,45,20
1,1,22,49,2160
1,2,22,49,2160
1,3,22,49,2160
1,4,22,49,2160
1,5,22,49,2160
1,6,22,49,2160
1,7,22,49,2160
1,8,22,49,2160
1,9,22,49,2160
1,10,22,49,2160
2,1,0,0,1
2,2,0,0,1
2,3,0,0,1
2,4,0,0,1
2,5,0,0,1
2,6,0,0,1
2,7,0,0,1
2,8,0,0,1
2,9,0,0,1
2,10,0,0,1
3,1,18,53,1716
3,2,18,53,1716
3,3,18,53,1716
3,4,18,53,1716
3,5,18,53,1716
3,6,18,53,1716
3,7,18,53,1716
3,8,18,53,1716
3,9,18,53,1716
3,10,18,53,1716
4,1,7,12,4
4,2,7,12,4
4,3,7,12,4
4,4,7,12,4
4,5,7,12,4
4,6,7,12,4
4,7,7,12,4
4,8,7,12,4
4,9,7,12,4
4,10,7,12,4
5,1,51,79,412
5,2,51,79,412
5,3,51,79,412
5,4,51,79,412
5,5,51,79,412
5,6,51,79,412
5,7,51,79,412
5,8,51,79,412
5,9,51,79,412
5,10,51,79,412
6,1,9,26,165
6,2,9,26,165
6,3,9,26,165
6,4,9,26,165
6,5,9,26,165
6,6,9,26,165
6,7,9,26,165
6,8,9,26,165
6,9,9,26,165
6,10,9,26,165
7,1,8,8,1
7,2,8,8,1
7,3,8,8,1
7,4,8,8,1
7,5,8,8,1
7,6,8,8,1
7,7,8,8,1
7,8,8,8,1
7,9,8,8,1
7,10,8,8,1
8,1,28,46,126
8,2,28,46,126
8,3,28,46,126
8,4,28,46,126
8,5,28,46,126
8,6,28,46,126
8,7,28,46,126
8,8,28,46,126
8,9,28,46,126
8,10,28,46,126
9,1,16,25,24
9,2,16,25,24
9,3,16,25,24
9,4,16,25,24
9,5,16,25,24
9,6,16,25,24
9,7,16,25,24
9,8,16,25,24
9,9,16,25,24
9,10,16,25,24
10,1,6,6,1
10,2,6,6,1
10,3,6,6,1
10,4,6,6,1
10,5,6,6,1
10,6,6,6,1
10,7,6,6,1
10,8,6,6,1
10,9,6,6,1
10,10,6,6,1
11,1,21,38,108
11,2,21,38,108
11,3,21,38,108
11,4,21,38,108
11,5,21,38,108
11,6,21,38,108
11,7,21,38,108
11,8,21,38,108
11,9,21,38,108
11,10,21,38,108
12,1,NA,NA,NA
13,1,5,14,15
13,2,5,14,15
13,3,5,14,15
13,4,5,14,15
13,5,5,14,15
13,6,5,14,15
13,7,5,14,15
13,8,5,14,15
13,9,5,14,15
13,10,5,14,15
14,1,16,24,8
14,2,16,24,8
14,3,16,24,8
14,4,16,24,8
14,5,16,24,8
14,6,16,24,8
14,7,16,24,8
14,8,16,24,8
14,9,16,24,8
14,10,16,24,8
15,1,28,51,540
15,2,28,51,540
15,3,28,51,540
15,4,28,51,540
15,5,28,51,540
15,6,28,51,540
15,7,28,51,540
15,8,28,51,540
15,9,28,51,540
15,10,28,51,540
16,1,18,25,14
16,2,18,25,14
16,3,18,25,14
16,4,18,25,14
16,5,18,25,14
16,6,18,25,14
16,7,18,25,14
16,8,18,25,14
16,9,18,25,14
16,10,18,25,14
17,1,6,7,2
17,2,6,7,2
17,3,6,7,2
17,4,6,7,2
17,5,6,7,2
17,6,6,7,2
17,7,6,7,2
17,8,6,7,2
17,9,6,7,2
17,10,6,7,2
18,1,13,25,33
18,2,13,25,33
18,3,13,25,33
18,4,13,25,33
18,5,13,25,33
18,6,13,25,33
18,7,13,25,33
18,8,13,25,33
18,9,13,25,33
18,10,13,25,33
19,1,16,27,28
19,2,16,27,28
19,3,16,27,28
19,4,16,27,28
19,5,16,27,28
19,6,16,27,28
19,7,16,27,28
19,8,16,27,28
19,9,16,27,28
19,10,16,27,28
20,1,5,5,1
20,2,5,5,1
20,3,5,5,1
20,4,5,5,1
20,5,5,5,1
20,6,5,5,1
20,7,5,5,1
20,8,5,5,1
20,9,5,5,1
20,10,5,5,1
21,1,NA,NA,NA
22,1,6,6,1
22,2,6,6,1
22,3,6,6,1
22,4,6,6,1
22,5,6,6,1
