Signature,Iteration,Time Spent
0,1,NA
1,1,47.21200656890869
1,2,47.542813301086426
1,3,46.966365337371826
1,4,47.49734807014465
1,5,46.65213871002197
1,6,47.18203949928284
1,7,46.82653498649597
1,8,46.989686727523804
1,9,47.33026695251465
1,10,47.373774766922
2,1,20.831860065460205
2,2,21.26249098777771
2,3,21.193862676620483
2,4,21.1799213886261
2,5,21.138041734695435
2,6,21.114989519119263
2,7,21.03385066986084
2,8,20.879144430160522
2,9,21.091784715652466
2,10,21.200687646865845
3,1,32.67701768875122
3,2,32.863312005996704
3,3,32.4103569984436
3,4,32.49856185913086
3,5,32.91631865501404
3,6,32.90074396133423
3,7,32.471134424209595
3,8,32.801045417785645
3,9,33.03683161735535
3,10,32.80867528915405
4,1,167.2780945301056
4,2,163.37524104118347
4,3,166.25558876991272
4,4,165.31879591941833
4,5,163.61865544319153
4,6,163.64024114608765
4,7,163.8483064174652
4,8,163.4660210609436
4,9,162.07137823104858
4,10,163.83629369735718
5,1,13.611224889755249
5,2,13.760868549346924
5,3,13.832746267318726
5,4,13.479923963546753
5,5,13.580521583557129
5,6,13.915851593017578
5,7,13.630798578262329
5,8,13.607527017593384
5,9,13.82735538482666
5,10,13.759586334228516
6,1,51.42801308631897
6,2,50.929248332977295
6,3,51.12516736984253
6,4,50.26084494590759
6,5,50.43745827674866
6,6,50.79501819610596
6,7,50.492655515670776
6,8,51.37627983093262
6,9,51.140132427215576
6,10,50.53640055656433
7,1,13.510670900344849
7,2,13.55386209487915
7,3,13.505939960479736
7,4,13.642640113830566
7,5,13.631608724594116
7,6,13.64599323272705
7,7,13.24489974975586
7,8,13.544782638549805
7,9,13.4051353931427
7,10,13.642276048660278
8,1,388.03785586357117
8,2,379.0373969078064
8,3,380.6993935108185
8,4,371.4005615711212
8,5,387.3409147262573
8,6,372.9682283401489
8,7,370.95309114456177
8,8,385.0651168823242
8,9,380.3953437805176
8,10,386.6369857788086
9,1,17.66436791419983
9,2,17.89124369621277
9,3,17.771894454956055
9,4,17.622953414916992
9,5,17.732136249542236
9,6,17.831387758255005
9,7,17.576606035232544
9,8,17.543471813201904
9,9,17.520456790924072
9,10,17.679083347320557
10,1,39.50682282447815
10,2,39.51952147483826
10,3,39.224005699157715
10,4,39.34699320793152
10,5,39.799598693847656
10,6,39.847317934036255
10,7,39.50832915306091
10,8,39.59250807762146
10,9,39.23694443702698
10,10,39.44368124008179
11,1,71.4742648601532
11,2,71.71966791152954
11,3,71.6419415473938
11,4,71.48042893409729
11,5,70.77621674537659
11,6,71.03487515449524
11,7,71.03498530387878
11,8,71.31834125518799
11,9,71.93815231323242
11,10,70.71484231948853
12,1,267.9051122665405
12,2,263.8701639175415
12,3,264.1178195476532
12,4,265.5396201610565
12,5,264.98751950263977
12,6,267.0949227809906
12,7,263.3689115047455
12,8,266.00255060195923
12,9,261.6039288043976
12,10,265.7442636489868
13,1,22.50374436378479
13,2,22.64805293083191
13,3,22.680180549621582
13,4,22.45726990699768
13,5,22.64283800125122
13,6,22.727595329284668
13,7,22.62092351913452
13,8,22.810168504714966
13,9,22.423624992370605
13,10,22.634032011032104
14,1,19.963029384613037
14,2,20.010432481765747
14,3,19.68056583404541
14,4,19.67292332649231
14,5,20.00688624382019
14,6,19.915821313858032
14,7,20.004923343658447
14,8,19.65314769744873
14,9,19.797587633132935
14,10,19.836747407913208
15,1,58.602378129959106
15,2,58.59876012802124
15,3,58.03325533866882
15,4,59.275803327560425
15,5,58.77297830581665
15,6,58.81863760948181
15,7,58.46094512939453
15,8,58.65301012992859
15,9,58.75604462623596
15,10,59.099308252334595
16,1,39.57754850387573
16,2,39.92686080932617
16,3,40.88168931007385
16,4,39.77437663078308
16,5,39.80000114440918
16,6,39.70375633239746
16,7,40.16880440711975
16,8,39.466230630874634
16,9,39.87724423408508
16,10,40.563430070877075
17,1,79.12086081504822
17,2,79.89781308174133
17,3,79.96544766426086
17,4,81.65989780426025
17,5,80.76858329772949
17,6,80.19938683509827
17,7,79.51024889945984
17,8,79.9739637374878
17,9,81.06278610229492
17,10,79.63410711288452
18,1,21.66006636619568
18,2,21.356885194778442
18,3,21.347909688949585
18,4,21.168879508972168
18,5,21.4960994720459
18,6,21.47476553916931
18,7,21.509308338165283
18,8,21.47049331665039
18,9,21.339998483657837
18,10,21.548924922943115
19,1,51.70203757286072
19,2,51.49865937232971
19,3,51.85124349594116
19,4,51.85801815986633
19,5,52.29419136047363
19,6,51.947277307510376
19,7,51.66856336593628
19,8,52.14903283119202
19,9,51.87077522277832
19,10,51.54964566230774
20,1,NA
21,1,60.559624910354614
21,2,59.94584250450134
21,3,60.499035358428955
21,4,60.09371852874756
21,5,59.433945655822754
21,6,59.71225643157959
21,7,60.334752798080444
21,8,59.925026178359985
21,9,59.20356488227844
21,10,61.13671851158142
22,1,NA
23,1,13.343151807785034
23,2,13.650944471359253
23,3,13.60674262046814
23,4,13.905954837799072
23,5,13.574508666992188
23,6,13.600039005279541
23,7,13.638882160186768
23,8,13.437538862228394
23,9,13.715624332427979
23,10,13.673611640930176
24,1,NA
25,1,7.5999979972839355
25,2,7.575154781341553
25,3,7.528629302978516
25,4,7.646565675735474
25,5,7.791181564331055
25,6,7.705617427825928
25,7,7.599345922470093
25,8,7.533306121826172
25,9,7.631507158279419
25,10,7.568634986877441
26,1,42.35844945907593
26,2,42.333041191101074
26,3,41.96943664550781
26,4,41.532973289489746
26,5,41.926974296569824
26,6,43.013922452926636
26,7,42.00328350067139
26,8,41.91571021080017
26,9,42.322389364242554
26,10,42.63562035560608
27,1,NA
28,1,7.588618278503418
28,2,7.532221794128418
28,3,7.620264053344727
28,4,7.468705654144287
28,5,7.51801323890686
28,6,7.589789152145386
28,7,7.6085205078125
28,8,7.714875221252441
28,9,7.464364051818848
28,10,7.5748419761657715
29,1,53.666534423828125
29,2,54.782493114471436
29,3,54.21381664276123
29,4,53.67117190361023
29,5,53.75914716720581
29,6,53.856268882751465
29,7,53.425524950027466
29,8,54.125900983810425
29,9,53.30048131942749
29,10,53.692676305770874
30,1,NA
31,1,33.046868324279785
31,2,32.59934163093567
31,3,32.58097815513611
31,4,33.14334774017334
31,5,33.168768882751465
31,6,32.769797801971436
31,7,32.44396758079529
31,8,32.913989305496216
31,9,32.609851121902466
31,10,32.90979504585266
32,1,NA
33,1,NA
34,1,26.6465802192688
34,2,26.814947366714478
34,3,26.771196603775024
34,4,26.568192958831787
34,5,26.460943937301636
34,6,26.989161729812622
34,7,26.2553608417511
