load_time
13.51236
k,sig_time
0,0.28343
1,0.28079
2,0.17704
3,0.27615
4,0.27081
5,0.35871
6,0.28624
7,0.25636
8,0.30842
9,0.2939
10,0.27077
11,0.30799
12,0.32809
13,0.26972
14,0.29688
15,0.30763
16,0.29998
17,0.26546
18,0.29043
19,0.28822
20,0.27375
21,0.32173
22,0.27118
23,0.28677
24,0.28093
25,0.29577
26,0.31004
27,0.24216
28,0.33085
29,0.28128
30,0.3143
31,0.31561
32,0.31428
33,0.30393
34,0.30764
35,0.24398
36,0.29302
37,0.28785
38,0.32902
39,0.34335
40,0.28298
41,0.31791
42,0.26044
43,0.26904
44,0.30272
45,12.5369
46,0.29436
47,0.27796
48,0.26239
49,0.33322
50,0.31956
51,0.29251
52,0.31395
53,0.28356
54,0.29303
55,0.29639
56,0.29199
57,0.37933
58,0.36134
59,0.28588
60,0.27822
61,0.28807
62,0.28493
63,0.31591
64,0.32479
65,0.186
66,0.34287
67,0.29594
68,0.27843
69,0.26705
70,0.26342
71,0.25872
72,0.2915
73,0.3032
74,0.3607
75,0.26515
76,0.26736
77,0.30077
78,0.26172
79,0.28991
80,0.27426
81,0.27993
82,0.31167
83,0.2995
84,0.32488
85,0.31002
86,0.28393
87,0.2813
88,0.27448
89,0.29334
90,0.317
91,0.26526
92,0.27356
93,0.27122
94,0.29136
95,0.26607
96,0.33059
97,0.29603
98,0.30419
99,0.30347
