Signature Name,Iteration,Size of First Minimal Module,Size of Union of All Minimal Modules,Number of Minimal Modules
0,1,10,20,30
0,2,10,20,30
0,3,10,20,30
0,4,10,20,30
0,5,10,20,30
0,6,10,20,30
0,7,10,20,30
0,8,10,20,30
0,9,10,20,30
0,10,10,20,30
1,1,11,24,36
1,2,11,24,36
1,3,11,24,36
1,4,11,24,36
1,5,11,24,36
1,6,11,24,36
1,7,11,24,36
1,8,11,24,36
1,9,11,24,36
1,10,11,24,36
2,1,8,8,1
2,2,8,8,1
2,3,8,8,1
2,4,8,8,1
2,5,8,8,1
2,6,8,8,1
2,7,8,8,1
2,8,8,8,1
2,9,8,8,1
2,10,8,8,1
3,1,0,0,1
3,2,0,0,1
3,3,0,0,1
3,4,0,0,1
3,5,0,0,1
3,6,0,0,1
3,7,0,0,1
3,8,0,0,1
3,9,0,0,1
3,10,0,0,1
4,1,29,61,250
4,2,29,61,250
4,3,29,61,250
4,4,29,61,250
4,5,29,61,250
4,6,29,61,250
4,7,29,61,250
4,8,29,61,250
4,9,29,61,250
4,10,29,61,250
5,1,17,27,60
5,2,17,27,60
5,3,17,27,60
5,4,17,27,60
5,5,17,27,60
5,6,17,27,60
5,7,17,27,60
5,8,17,27,60
5,9,17,27,60
5,10,17,27,60
6,1,19,54,704
6,2,19,54,704
6,3,19,54,704
6,4,19,54,704
6,5,19,54,704
6,6,19,54,704
6,7,19,54,704
6,8,19,54,704
6,9,19,54,704
6,10,19,54,704
7,1,17,17,1
7,2,17,17,1
7,3,17,17,1
7,4,17,17,1
7,5,17,17,1
7,6,17,17,1
7,7,17,17,1
7,8,17,17,1
7,9,17,17,1
7,10,17,17,1
8,1,17,17,1
8,2,17,17,1
8,3,17,17,1
8,4,17,17,1
8,5,17,17,1
8,6,17,17,1
8,7,17,17,1
8,8,17,17,1
8,9,17,17,1
8,10,17,17,1
9,1,20,29,8
9,2,20,29,8
9,3,20,29,8
9,4,20,29,8
9,5,20,29,8
9,6,20,29,8
9,7,20,29,8
9,8,20,29,8
9,9,20,29,8
9,10,20,29,8
10,1,7,10,4
10,2,7,10,4
10,3,7,10,4
10,4,7,10,4
10,5,7,10,4
10,6,7,10,4
10,7,7,10,4
10,8,7,10,4
10,9,7,10,4
10,10,7,10,4
11,1,17,18,2
11,2,17,18,2
11,3,17,18,2
11,4,17,18,2
11,5,17,18,2
11,6,17,18,2
11,7,17,18,2
11,8,17,18,2
11,9,17,18,2
11,10,17,18,2
12,1,12,25,25
12,2,12,25,25
12,3,12,25,25
12,4,12,25,25
12,5,12,25,25
12,6,12,25,25
12,7,12,25,25
12,8,12,25,25
12,9,12,25,25
12,10,12,25,25
13,1,17,21,3
13,2,17,21,3
13,3,17,21,3
