Signature,Iteration,Time Spent
0,1,17.37421202659607
0,2,17.05376935005188
0,3,17.184891939163208
0,4,16.96755838394165
0,5,17.107771158218384
0,6,16.975234508514404
0,7,17.237751483917236
0,8,17.29097890853882
0,9,16.82419514656067
0,10,17.131797552108765
1,1,41.97941589355469
1,2,42.1160671710968
1,3,41.39828681945801
1,4,41.94389605522156
1,5,42.02817344665527
1,6,42.30798077583313
1,7,41.17274785041809
1,8,41.87387180328369
1,9,41.68108415603638
1,10,41.95094108581543
2,1,20.313855409622192
2,2,20.360591888427734
2,3,20.537800073623657
2,4,20.224984407424927
2,5,20.327909231185913
2,6,20.297566652297974
2,7,20.25145149230957
2,8,20.51452875137329
2,9,20.2324275970459
2,10,20.35254168510437
3,1,32.7631676197052
3,2,32.487778186798096
3,3,32.539501905441284
3,4,32.56954336166382
3,5,32.03389525413513
3,6,32.40229892730713
3,7,32.330118894577026
3,8,32.45300364494324
3,9,32.22318983078003
3,10,32.40708827972412
4,1,50.205809593200684
4,2,51.21711754798889
4,3,50.205196142196655
4,4,51.2260365486145
4,5,50.82264423370361
4,6,50.469650745391846
4,7,51.10687756538391
4,8,50.67807412147522
4,9,50.50164484977722
4,10,50.36382222175598
5,1,29.976852416992188
5,2,29.85946035385132
5,3,29.976431369781494
5,4,29.761167526245117
5,5,29.63052272796631
5,6,29.80601978302002
5,7,29.464634895324707
5,8,29.791085958480835
5,9,29.71560263633728
5,10,30.187432765960693
6,1,32.10151481628418
6,2,31.904030799865723
6,3,32.2324423789978
6,4,32.43615484237671
6,5,32.26870918273926
6,6,31.93520951271057
6,7,32.031535625457764
6,8,32.38903570175171
6,9,32.55939245223999
6,10,32.26208519935608
7,1,58.83746910095215
7,2,58.657334089279175
7,3,59.107160568237305
7,4,59.30279040336609
7,5,58.85456848144531
7,6,58.993701696395874
7,7,58.15425205230713
7,8,59.07294821739197
7,9,59.62787914276123
7,10,59.19819974899292
8,1,NA
9,1,NA
10,1,22.053857803344727
10,2,22.379913091659546
10,3,22.2173912525177
10,4,22.426653146743774
10,5,22.065375328063965
10,6,22.11916422843933
10,7,22.684086799621582
10,8,22.254260063171387
10,9,22.26234745979309
