Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,6,14,10
1,13,24,36
2,8,8,1
3,0,0,1
4,23,36,20
5,15,24,30
6,19,54,704
7,17,17,1
8,17,17,1
9,19,29,8
10,6,10,4
11,5,5,1
12,12,25,25
13,17,21,3
14,9,21,7
15,35,55,2200
16,9,13,4
17,26,32,18
18,21,28,6
23,70,79,64
24,23,44,390
25,32,52,2508
26,18,31,24
27,9,19,9
28,27,47,168
29,14,30,48
30,13,13,1
31,9,18,6
32,12,12,1
33,27,33,6
34,20,41,144
35,38,38,1
36,13,22,24
37,15,25,12
38,18,39,12
39,9,11,2
40,33,42,20
43,21,25,5
44,12,20,8
46,9,9,1
47,17,21,6
48,33,65,8960
50,33,67,432
51,5,11,6
52,57,71,30
53,12,22,24
54,31,61,1980
55,12,26,10
56,12,16,5
57,24,39,80
58,30,58,1200
59,3,3,1
62,3,6,4
63,13,31,216
65,18,31,80
66,18,18,1
67,9,18,10
68,25,29,2
69,19,23,3
70,7,9,3
72,34,66,840
73,31,46,768
74,12,12,1
75,30,57,520
77,2,5,4
78,88,104,128
79,5,11,4
80,28,79,9450
81,12,12,1
82,8,17,10
83,21,27,10
84,6,8,3
85,35,66,15840
86,4,6,2
87,14,27,27
88,15,25,48
89,6,6,1
90,12,22,18
91,19,39,90
92,26,45,240
93,15,34,162
94,12,12,1
95,2,2,1
96,24,33,36
97,11,36,256
98,17,38,288
99,2,2,1
