Signature,Time Spent
0,1.9630329608917236
1,2.292890787124634
2,NA
3,0.7235414981842041
4,3.0682051181793213
5,NA
6,6.274906873703003
7,1.7601568698883057
8,1.8456714153289795
9,1.7296600341796875
10,0.8508861064910889
11,0.7597780227661133
12,2.766188144683838
13,2.1055538654327393
14,NA
15,140.57234597206116
16,1.439389705657959
17,1.279003381729126
18,1.0438168048858643
19,NA
20,NA
21,NA
22,NA
23,5.492413759231567
24,NA
25,59.24135708808899
26,3.8149235248565674
27,0.9831500053405762
28,4.120298862457275
29,2.0979843139648438
30,1.6586945056915283
31,1.678574562072754
32,NA
33,2.7424190044403076
34,1.1904077529907227
35,1.910871982574463
36,2.822925090789795
37,1.7178411483764648
38,1.0882210731506348
39,0.6971242427825928
40,3.332979202270508
41,NA
42,NA
43,14.657658100128174
44,1.7154760360717773
45,NA
46,NA
47,NA
48,122.63475370407104
49,NA
50,5.805304050445557
51,2.9364449977874756
52,1.3631079196929932
53,NA
54,5.954849004745483
55,2.5995781421661377
56,1.8349323272705078
57,1.2977991104125977
58,4.32017970085144
59,NA
60,NA
61,NA
62,NA
63,3.31891131401062
64,NA
65,4.490740776062012
66,1.8392853736877441
67,1.7624702453613281
68,1.3740167617797852
69,1.9478261470794678
70,1.8429062366485596
71,NA
72,5.16354775428772
73,4.764086723327637
74,1.4967718124389648
75,3.569244623184204
76,NA
77,NA
78,6.560079336166382
79,2.094888210296631
80,146.82804417610168
81,2.0972514152526855
82,2.7082443237304688
83,2.0807342529296875
84,1.6838507652282715
85,NA
86,1.7328133583068848
87,2.0676605701446533
88,NA
89,1.4042878150939941
90,1.1263976097106934
91,1.0387651920318604
92,2.479569435119629
93,2.4086508750915527
94,1.6206755638122559
95,211.23783683776855
96,2.04485821723938
97,2.355337381362915
98,NA
99,NA
