Signature,Iteration,Time Spent
0,1,NA
1,1,57.124292612075806
1,2,54.411043882369995
1,3,54.051708459854126
1,4,53.68021559715271
1,5,54.77199602127075
1,6,53.643430948257446
1,7,54.016005754470825
1,8,53.600897550582886
1,9,54.26464509963989
1,10,54.174697160720825
10,1,47.55812168121338
10,2,47.58453941345215
10,3,47.779852867126465
10,4,47.87814426422119
10,5,48.24073553085327
10,6,48.25448513031006
10,7,47.27774786949158
10,8,47.567678928375244
10,9,47.15307593345642
10,10,47.692575216293335
11,1,81.1366217136383
11,2,80.20600247383118
11,3,82.04780340194702
11,4,81.60549116134644
11,5,81.1389651298523
11,6,80.66263842582703
11,7,80.25432872772217
11,8,80.97882318496704
11,9,82.32450461387634
11,10,80.2278094291687
12,1,290.0581705570221
12,2,289.00283432006836
12,3,290.0619559288025
12,4,293.37155532836914
12,5,289.783216714859
12,6,290.07815742492676
12,7,289.0409326553345
12,8,292.4046561717987
12,9,291.1100552082062
12,10,290.3405210971832
13,1,26.391560554504395
13,2,26.523266553878784
13,3,26.90312099456787
13,4,26.733982801437378
13,5,26.288590908050537
13,6,26.817416429519653
13,7,26.746306657791138
13,8,26.842746257781982
13,9,26.68013310432434
13,10,26.705764532089233
14,1,22.69503426551819
14,2,22.89695954322815
14,3,22.801281452178955
14,4,22.655489683151245
14,5,22.867326021194458
14,6,22.47621989250183
14,7,22.621938943862915
14,8,22.722389221191406
14,9,23.004430532455444
14,10,22.941927194595337
15,1,66.5248031616211
15,2,67.21970891952515
15,3,66.60613536834717
15,4,66.2153549194336
15,5,66.43857288360596
15,6,66.9791009426117
15,7,66.9335458278656
15,8,66.59203243255615
15,9,66.17492485046387
15,10,66.37207198143005
16,1,47.44143486022949
16,2,46.9172477722168
16,3,46.238012075424194
16,4,46.7761070728302
16,5,45.76554870605469
16,6,46.1070077419281
16,7,46.969494342803955
16,8,46.255597829818726
16,9,46.493316411972046
16,10,46.217490434646606
17,1,88.73283338546753
17,2,90.18186450004578
17,3,87.84858894348145
17,4,88.71202516555786
17,5,89.20788073539734
17,6,89.609206199646
17,7,88.69224381446838
17,8,89.24863886833191
17,9,91.31843852996826
17,10,89.15757536888123
18,1,24.934548377990723
18,2,24.900239944458008
18,3,24.936532258987427
18,4,24.66113042831421
18,5,25.000659704208374
18,6,25.02703619003296
18,7,25.29423451423645
18,8,25.009694576263428
18,9,24.911382913589478
18,10,24.96609330177307
19,1,58.49086856842041
19,2,58.93750858306885
19,3,58.13180208206177
19,4,58.553571939468384
19,5,57.5970516204834
19,6,59.034042835235596
19,7,58.98383140563965
19,8,59.171159982681274
19,9,57.45011043548584
19,10,58.83704996109009
2,1,24.127032995224
2,2,24.376256227493286
2,3,24.31949019432068
2,4,24.833313941955566
2,5,24.52297616004944
2,6,24.631690740585327
2,7,24.338858366012573
2,8,24.197590589523315
2,9,24.679227828979492
2,10,24.464517831802368
20,1,NA
21,1,76.47838139533997
21,2,73.92436933517456
21,3,73.54873895645142
21,4,72.94622802734375
21,5,72.52296662330627
21,6,72.37356209754944
21,7,72.16474461555481
21,8,72.7733519077301
21,9,72.79057717323303
21,10,72.61409044265747
22,1,NA
23,1,15.89466404914856
23,2,15.90164828300476
23,3,16.266562461853027
23,4,15.980958938598633
23,5,16.296178817749023
23,6,15.968127727508545
23,7,16.18363881111145
23,8,16.056512594223022
23,9,16.295019149780273
23,10,16.17078924179077
24,1,NA
25,1,9.161198377609253
25,2,9.239738702774048
25,3,9.027454376220703
25,4,9.13869023323059
25,5,9.125870704650879
25,6,9.133545875549316
25,7,9.021399736404419
25,8,9.250110864639282
25,9,9.13147497177124
25,10,9.311029434204102
26,1,55.09003520011902
26,2,53.83780217170715
26,3,53.99414682388306
26,4,53.88850235939026
26,5,54.462756872177124
26,6,54.9608633518219
26,7,54.47079825401306
26,8,53.855568170547485
26,9,53.55625939369202
26,10,52.143760204315186
27,1,NA
28,1,11.413904905319214
28,2,11.305924892425537
28,3,11.2072434425354
28,4,10.932289123535156
28,5,10.995403528213501
28,6,10.888712644577026
28,7,10.686728477478027
28,8,10.8572678565979
28,9,10.91907262802124
28,10,10.939582347869873
29,1,76.85684251785278
29,2,74.8324089050293
29,3,79.48362612724304
29,4,74.14832592010498
29,5,74.96716332435608
29,6,74.04010152816772
29,7,74.93873023986816
29,8,73.97494626045227
29,9,73.07249188423157
29,10,74.73235654830933
3,1,44.36899542808533
3,2,43.647483587265015
3,3,40.93272876739502
3,4,39.63773775100708
3,5,39.32316446304321
3,6,39.21015930175781
3,7,39.282076597213745
3,8,39.10526514053345
3,9,39.69752216339111
3,10,39.65889120101929
30,1,NA
31,1,45.68953466415405
31,2,43.86913275718689
31,3,45.40615272521973
31,4,40.95338273048401
31,5,40.75274634361267
31,6,41.64042854309082
31,7,41.966907024383545
31,8,40.402411222457886
31,9,41.54819178581238
31,10,39.64681434631348
32,1,NA
33,1,NA
34,1,33.58464455604553
34,2,33.45488500595093
34,3,33.61412858963013
34,4,32.83694863319397
34,5,32.94621515274048
34,6,33.178025245666504
34,7,32.83521485328674
34,8,33.23920011520386
34,9,32.69289255142212
34,10,33.17171788215637
35,1,105.41861820220947
35,2,106.61182045936584
35,3,106.88354849815369
35,4,105.5217936038971
35,5,107.49983310699463
35,6,106.0629370212555
35,7,107.24864101409912
35,8,106.82875299453735
35,9,107.54638671875
35,10,107.66700577735901
36,1,116.79357719421387
36,2,118.05344605445862
36,3,74.79164123535156
36,4,113.5855085849762
36,5,113.19601345062256
36,6,111.71953201293945
36,7,111.9376790523529
36,8,111.30218243598938
36,9,110.67062139511108
36,10,112.35254454612732
37,1,12.59366226196289
37,2,12.692174673080444
37,3,12.660256147384644
37,4,12.627052783966064
37,5,12.728128671646118
37,6,12.59070611000061
37,7,12.788996458053589
37,8,12.52535104751587
37,9,12.409810066223145
37,10,12.621781826019287
38,1,43.75162672996521
38,2,43.18563199043274
38,3,43.379799127578735
38,4,43.21545386314392
38,5,43.04222822189331
38,6,43.73039627075195
38,7,42.7963502407074
38,8,44.002644062042236
38,9,43.058327198028564
38,10,42.668543100357056
39,1,60.0930871963501
39,2,59.51770305633545
39,3,60.883795976638794
39,4,60.21532917022705
39,5,60.037933588027954
39,6,60.518903970718384
39,7,59.377914905548096
39,8,60.38598036766052
39,9,59.97009873390198
39,10,59.70412087440491
4,1,195.57378363609314
4,2,194.2703778743744
4,3,192.5555763244629
4,4,191.31700038909912
4,5,193.31218791007996
4,6,191.7851676940918
4,7,194.49707794189453
4,8,194.07382345199585
4,9,191.36729860305786
4,10,195.28581261634827
40,1,14.497727394104004
40,2,14.364787340164185
40,3,14.13483190536499
40,4,14.534329414367676
40,5,14.497211933135986
40,6,14.337735176086426
40,7,14.36135458946228
40,8,14.405668020248413
40,9,14.559580326080322
40,10,14.617819786071777
41,1,18.50696349143982
41,2,18.387407541275024
41,3,17.944623708724976
41,4,18.255454540252686
41,5,18.289900302886963
41,6,18.348287105560303
41,7,18.285943269729614
41,8,18.55221462249756
41,9,18.49151039123535
41,10,18.177786111831665
42,1,21.110079288482666
42,2,21.365740537643433
42,3,21.31291365623474
42,4,21.18127942085266
42,5,21.483973264694214
42,6,21.749489307403564
42,7,21.522916316986084
42,8,21.524214506149292
42,9,21.51991057395935
42,10,21.521750926971436
43,1,17.334155559539795
43,2,17.273925304412842
43,3,17.338402271270752
43,4,17.499861240386963
43,5,17.248042345046997
43,6,17.355284452438354
43,7,17.350219011306763
43,8,17.27273464202881
43,9,17.38549494743347
43,10,17.17861819267273
44,1,48.042144775390625
44,2,48.3095908164978
44,3,49.089396953582764
44,4,49.01413011550903
44,5,47.363712310791016
44,6,48.228999853134155
44,7,48.79596829414368
44,8,47.781556606292725
44,9,48.4471161365509
44,10,48.6022469997406
45,1,45.82444167137146
45,2,45.71271896362305
45,3,45.77499866485596
45,4,45.39143943786621
45,5,46.292006731033325
45,6,45.86163330078125
45,7,45.89444351196289
45,8,45.893174171447754
45,9,46.30248785018921
45,10,46.41962385177612
46,1,12.911360025405884
46,2,12.940007448196411
46,3,12.833991050720215
46,4,12.948633670806885
46,5,12.741819620132446
46,6,12.90624213218689
46,7,12.931044816970825
46,8,12.73141074180603
46,9,12.94029450416565
46,10,13.102715015411377
47,1,46.881611347198486
47,2,46.925169467926025
47,3,47.66144323348999
47,4,47.4218316078186
47,5,47.20425033569336
47,6,47.084054708480835
47,7,47.82665753364563
47,8,46.187615156173706
47,9,46.9312469959259
47,10,47.333516120910645
48,1,25.856014490127563
48,2,26.26505422592163
48,3,26.037564992904663
48,4,25.95399832725525
48,5,26.465179681777954
48,6,26.37218689918518
48,7,25.83629298210144
48,8,25.965681791305542
48,9,25.97291326522827
48,10,25.810510396957397
49,1,74.2104377746582
49,2,75.38345170021057
49,3,73.58291101455688
49,4,73.41609764099121
49,5,73.28675436973572
49,6,73.72967982292175
49,7,74.05032777786255
49,8,74.52752995491028
49,9,73.94656586647034
49,10,72.98640489578247
5,1,15.53870677947998
5,2,15.541099786758423
5,3,15.498760223388672
5,4,15.892598152160645
5,5,15.626002311706543
5,6,15.862001180648804
5,7,15.863563060760498
5,8,15.613785743713379
5,9,15.774834156036377
5,10,15.874878644943237
50,1,53.676292419433594
50,2,52.967125415802
50,3,52.89142894744873
50,4,53.07991981506348
50,5,53.18217706680298
50,6,53.40062928199768
50,7,53.55108833312988
50,8,53.150744676589966
50,9,52.77147579193115
50,10,53.04256463050842
51,1,22.42222785949707
51,2,22.2998366355896
51,3,22.79740595817566
51,4,22.68522596359253
51,5,22.431252241134644
51,6,22.434295177459717
51,7,22.48670792579651
51,8,22.67952013015747
51,9,22.639232397079468
51,10,22.55062437057495
52,1,NA
53,1,58.681514501571655
53,2,57.53330111503601
53,3,57.852412700653076
53,4,57.297598361968994
53,5,57.42003655433655
53,6,58.14786338806152
53,7,58.41665172576904
53,8,57.73076343536377
53,9,57.63517785072327
53,10,56.93395686149597
54,1,36.11229586601257
54,2,36.462472677230835
54,3,36.76355957984924
54,4,36.47431683540344
54,5,36.400089263916016
54,6,36.13076066970825
54,7,36.450209617614746
54,8,36.17977046966553
54,9,35.78214716911316
54,10,35.724120140075684
55,1,20.157267570495605
55,2,20.26149559020996
55,3,20.114465951919556
55,4,20.490493059158325
55,5,20.37300944328308
55,6,20.49088954925537
55,7,20.657069444656372
55,8,20.489745140075684
55,9,20.306922435760498
55,10,20.608184337615967
56,1,24.419272661209106
56,2,24.372745752334595
56,3,24.361605405807495
56,4,24.42550301551819
56,5,24.25431728363037
56,6,24.56013774871826
56,7,24.396687746047974
56,8,24.400182723999023
56,9,24.485405683517456
56,10,24.574469804763794
57,1,23.234038829803467
57,2,23.304553985595703
57,3,23.422882556915283
57,4,23.446956396102905
57,5,23.263705730438232
57,6,23.343170881271362
57,7,23.36147904396057
57,8,23.136029720306396
57,9,23.270310878753662
57,10,23.283670902252197
58,1,18.504733324050903
58,2,18.538655996322632
58,3,18.66015887260437
58,4,18.67542862892151
58,5,18.665589570999146
58,6,18.646844625473022
58,7,18.725388288497925
58,8,18.60366988182068
58,9,18.76435351371765
58,10,18.78894805908203
59,1,206.39141035079956
59,2,203.91451215744019
59,3,193.28666973114014
59,4,188.78905701637268
59,5,188.79271149635315
59,6,188.4562304019928
59,7,188.44290232658386
59,8,190.5088391304016
59,9,188.24414896965027
59,10,189.39286708831787
6,1,57.54749631881714
6,2,57.473907470703125
6,3,57.12567448616028
6,4,57.32587790489197
6,5,57.46258568763733
6,6,57.02970337867737
6,7,57.899046182632446
6,8,56.47003698348999
6,9,57.05542707443237
6,10,56.93632888793945
60,1,20.882874727249146
60,2,20.558152437210083
60,3,20.516446113586426
60,4,20.659343004226685
60,5,20.53905177116394
60,6,20.542898893356323
60,7,20.303387880325317
60,8,20.371095180511475
60,9,20.555700540542603
60,10,20.80506443977356
61,1,14.339375257492065
61,2,14.102210760116577
61,3,14.158150672912598
61,4,14.098565578460693
61,5,14.248000860214233
61,6,14.144338846206665
61,7,14.240866422653198
61,8,14.358310222625732
61,9,13.901159524917603
61,10,14.252581119537354
62,1,NA
63,1,62.358681201934814
63,2,61.16836881637573
63,3,60.938923835754395
63,4,61.41825795173645
63,5,62.15358281135559
63,6,61.29481267929077
63,7,61.27080249786377
63,8,60.931700706481934
63,9,61.21619153022766
63,10,61.14711785316467
64,1,23.03727078437805
64,2,23.271352529525757
64,3,23.01748013496399
64,4,23.33687472343445
64,5,23.07403874397278
64,6,22.800461769104004
64,7,23.08459234237671
64,8,22.80739116668701
64,9,22.93670964241028
64,10,22.86988639831543
65,1,53.775554180145264
65,2,54.82355499267578
65,3,52.87016272544861
65,4,53.20626878738403
65,5,53.25717234611511
65,6,54.30650210380554
65,7,52.87682342529297
65,8,54.46321368217468
65,9,53.70473527908325
65,10,57.26190996170044
66,1,15.445069789886475
66,2,15.972476959228516
66,3,15.679456233978271
66,4,15.759304761886597
66,5,15.54108476638794
66,6,15.80259895324707
66,7,15.800348281860352
66,8,15.446272611618042
66,9,15.45920991897583
66,10,15.684674263000488
67,1,NA
68,1,127.45037174224854
68,2,124.2768828868866
68,3,112.75051975250244
68,4,111.60701084136963
68,5,110.98873257637024
68,6,110.4464590549469
68,7,110.72532796859741
68,8,113.9349262714386
68,9,111.6949360370636
68,10,112.19225335121155
69,1,50.120726108551025
69,2,48.0902054309845
69,3,48.908872842788696
69,4,48.978554487228394
69,5,48.77309441566467
69,6,50.12909746170044
69,7,45.140448808670044
69,8,45.65707540512085
69,9,45.15983009338379
69,10,45.031150102615356
7,1,15.683136701583862
7,2,15.720435857772827
7,3,15.755090951919556
7,4,15.775562286376953
7,5,15.554126977920532
7,6,15.611151933670044
7,7,15.820351123809814
7,8,15.740968704223633
7,9,15.808666229248047
7,10,15.750244855880737
70,1,14.276512622833252
70,2,14.120362281799316
70,3,14.013084411621094
70,4,14.24070429801941
70,5,14.127131938934326
70,6,13.902054786682129
70,7,13.909622430801392
70,8,13.885740756988525
70,9,14.155909776687622
70,10,13.905261516571045
71,1,121.35096526145935
71,2,122.61891174316406
71,3,121.7388379573822
71,4,122.76595664024353
71,5,121.918785572052
71,6,121.27499008178711
71,7,124.42367362976074
71,8,126.51782178878784
71,9,121.47427582740784
71,10,120.83748507499695
72,1,55.630539655685425
72,2,55.53719639778137
72,3,55.68793082237244
72,4,55.78536033630371
72,5,55.26380896568298
72,6,55.91021394729614
72,7,55.83175802230835
72,8,55.27900552749634
72,9,55.33625364303589
72,10,55.772854804992676
73,1,22.765055656433105
73,2,22.879486322402954
73,3,22.661799907684326
73,4,22.607423305511475
73,5,22.88115382194519
73,6,22.859295129776
73,7,22.9492666721344
73,8,23.011817932128906
73,9,23.042168855667114
73,10,22.746412754058838
74,1,25.126990795135498
74,2,25.084075450897217
74,3,25.200114488601685
74,4,24.99439263343811
74,5,25.07637619972229
74,6,25.33478307723999
74,7,25.238537311553955
74,8,25.504539966583252
74,9,25.285497665405273
74,10,25.515650987625122
75,1,42.17218041419983
75,2,42.69681930541992
75,3,42.00402045249939
75,4,42.03889989852905
75,5,41.70282983779907
75,6,43.26426672935486
75,7,42.51362729072571
75,8,41.91982126235962
75,9,42.13745164871216
75,10,42.08284902572632
76,1,NA
77,1,30.309812784194946
77,2,29.910549879074097
77,3,29.701560974121094
77,4,30.331615924835205
77,5,30.02532124519348
77,6,30.24142050743103
77,7,30.14949059486389
77,8,30.14072275161743
77,9,30.720982789993286
77,10,30.416992902755737
78,1,NA
79,1,26.093513250350952
79,2,25.62080717086792
79,3,25.74917507171631
79,4,25.746501445770264
79,5,25.824478149414062
79,6,25.745965003967285
79,7,25.550222873687744
79,8,25.26573634147644
79,9,25.689213752746582
79,10,25.12089443206787
8,1,495.0079143047333
8,2,502.7607891559601
8,3,499.6117913722992
8,4,499.00213265419006
8,5,499.9499671459198
8,6,506.7054271697998
8,7,506.4283413887024
8,8,496.5068428516388
8,9,502.37678933143616
8,10,495.77375745773315
80,1,47.557597398757935
80,2,47.26831412315369
80,3,47.462642669677734
80,4,47.57123112678528
80,5,48.05863404273987
80,6,47.70482921600342
80,7,47.693349838256836
80,8,47.32594656944275
80,9,48.40580892562866
80,10,47.649428367614746
81,1,NA
82,1,14.602406024932861
82,2,14.592091083526611
82,3,14.2626633644104
82,4,14.085102558135986
82,5,14.319955110549927
82,6,14.388133525848389
82,7,14.307700157165527
82,8,14.308547019958496
82,9,14.047217607498169
82,10,14.150737285614014
83,1,167.38908123970032
83,2,168.7831892967224
83,3,166.75452327728271
83,4,165.67114162445068
83,5,164.92644119262695
83,6,168.11743998527527
83,7,168.04581546783447
83,8,164.66307663917542
83,9,167.12595558166504
83,10,165.58705377578735
84,1,82.32192611694336
84,2,85.52185583114624
84,3,82.30368208885193
84,4,84.35470223426819
84,5,82.716073513031
84,6,82.30107402801514
84,7,82.11576271057129
84,8,82.87181687355042
84,9,83.49103379249573
84,10,83.58762216567993
85,1,32.981175899505615
85,2,32.832021713256836
85,3,33.129812240600586
85,4,33.18331789970398
85,5,32.82334661483765
85,6,33.14287734031677
85,7,32.807615518569946
85,8,32.68952918052673
85,9,32.84602212905884
85,10,33.25609016418457
86,1,19.890506982803345
86,2,19.953364849090576
86,3,19.867595434188843
86,4,20.07088041305542
86,5,20.273123502731323
86,6,20.055088996887207
86,7,20.176705598831177
86,8,19.90762734413147
86,9,20.060158491134644
86,10,19.931166172027588
87,1,141.44195342063904
87,2,141.83508777618408
87,3,136.55987119674683
87,4,137.98330736160278
87,5,139.5629391670227
87,6,138.3087911605835
87,7,137.18540334701538
87,8,138.3329041004181
87,9,138.50724291801453
87,10,137.11268854141235
88,1,221.77291703224182
88,2,222.3986201286316
88,3,221.18541598320007
88,4,220.95895957946777
88,5,221.76045083999634
88,6,219.93828129768372
88,7,220.92440342903137
88,8,220.90596461296082
88,9,220.72336792945862
88,10,218.49576115608215
89,1,68.70040321350098
89,2,69.38417172431946
89,3,70.0555408000946
89,4,70.06777167320251
89,5,68.15766382217407
89,6,69.84232997894287
89,7,69.8661458492279
89,8,68.01539778709412
89,9,68.26530194282532
89,10,67.65790486335754
9,1,22.462228298187256
9,2,22.2669894695282
9,3,22.41638159751892
9,4,21.979331970214844
9,5,22.274781465530396
9,6,22.165767908096313
9,7,22.3109347820282
9,8,22.406940460205078
9,9,22.401469469070435
9,10,22.428309679031372
90,1,23.59207534790039
90,2,23.394404411315918
90,3,23.63236379623413
90,4,23.20635461807251
90,5,23.704633712768555
90,6,23.471095323562622
90,7,23.777395725250244
90,8,23.759110927581787
90,9,23.582874298095703
90,10,23.585906744003296
91,1,78.46536827087402
91,2,77.98600172996521
91,3,76.6569721698761
91,4,78.58699297904968
91,5,76.84433650970459
91,6,78.46397066116333
91,7,78.20784521102905
91,8,77.25789833068848
91,9,76.98615026473999
91,10,76.68401265144348
92,1,125.84588551521301
92,2,124.11154890060425
92,3,123.72747826576233
92,4,124.26426720619202
92,5,123.11115574836731
92,6,122.68595933914185
92,7,124.11137914657593
92,8,125.34147214889526
92,9,123.79131722450256
92,10,124.46539497375488
93,1,172.24484276771545
93,2,174.74937462806702
93,3,169.45081973075867
93,4,173.4426281452179
93,5,170.93969821929932
93,6,169.24835968017578
93,7,171.30182719230652
93,8,169.2330138683319
93,9,171.30415225028992
93,10,170.9303503036499
94,1,36.11419224739075
94,2,36.31352639198303
94,3,36.214422941207886
94,4,36.37799382209778
94,5,36.44371438026428
94,6,36.20587921142578
94,7,36.459415674209595
94,8,36.12832283973694
94,9,36.44740176200867
94,10,36.246174812316895
95,1,25.807239770889282
95,2,25.482316493988037
95,3,25.28497290611267
95,4,26.005928993225098
95,5,25.869651556015015
95,6,25.737791538238525
95,7,25.826103448867798
95,8,25.64723777770996
95,9,26.021738529205322
95,10,25.769055366516113
96,1,17.4556667804718
96,2,17.865952968597412
96,3,17.790188312530518
96,4,17.528621435165405
96,5,17.576387405395508
96,6,17.849555492401123
96,7,17.80034065246582
96,8,17.648395776748657
96,9,17.675287008285522
96,10,17.63832116127014
97,1,116.61378526687622
97,2,118.87196135520935
97,3,117.40760970115662
97,4,116.45946073532104
97,5,115.45279693603516
97,6,116.58105492591858
97,7,116.2841694355011
97,8,115.67746877670288
97,9,115.7988395690918
97,10,116.69426655769348
98,1,132.5706925392151
98,2,135.84947609901428
98,3,136.12335467338562
98,4,134.8695034980774
98,5,133.8154275417328
98,6,133.77385115623474
98,7,133.99645042419434
98,8,134.2626495361328
98,9,134.54725670814514
98,10,133.14027452468872
99,1,48.878188133239746
99,2,48.85152053833008
99,3,48.65375876426697
99,4,48.57574510574341
99,5,48.87189054489136
99,6,49.38581299781799
99,7,48.77305459976196
99,8,49.126957178115845
99,9,49.05686712265015
99,10,49.03420925140381
