name of the signature,size of the module
0,13
1,106
2,29
3,131
4,19
5,0
6,32
7,150
8,71
9,79
10,0
11,869
12,37
13,55
14,87
15,51
16,216
17,118
18,99
19,72
20,64
21,80
22,127
23,49
24,36
25,809
26,73
27,52
28,75
29,1066
30,39
31,37
32,0
33,6
34,33
35,0
36,158
37,54
38,39
39,146
40,65
41,94
42,114
43,18
44,9
45,77
46,906
47,429
48,106
49,68
50,6
51,140
52,7
53,71
54,135
55,59
56,0
57,80
58,0
59,0
60,47
61,5
62,0
63,83
64,198
65,174
66,170
67,0
68,217
69,114
70,0
71,75
72,22
73,30
74,13
75,9
76,975
77,8
78,954
79,0
80,29
81,395
82,53
83,130
84,210
85,105
86,17
87,89
88,10
89,197
90,192
91,329
92,113
93,11
94,87
95,0
96,18
97,35
98,41
99,8
100,167
101,27
102,12
103,235
104,56
105,317
106,206
107,89
108,46
109,6
110,8
111,1036
112,902
113,1036
114,148
115,78
116,198
117,142
118,831
119,37
120,105
121,118
122,16
123,125
124,22
125,55
126,1132
127,381
128,13
129,17
130,91
131,261
132,48
133,1034
134,21
135,16
136,0
137,963
138,30
139,79
140,44
141,26
142,79
143,1440
144,78
145,30
146,36
147,52
148,179
149,1241
150,27
151,1111
152,179
153,16
154,1162
155,1283
156,963
157,34
158,2
159,62
160,18
161,69
162,1243
163,142
164,0
165,82
166,37
167,22
168,50
169,57
170,0
171,217
172,1288
173,136
174,204
175,1131
176,198
177,92
178,6
179,0
180,99
181,36
182,1169
183,0
184,178
185,54
186,27
187,95
188,4
189,18
190,45
191,28
192,99
193,123
194,1015
195,4
196,27
197,20
198,29
199,3
200,33
201,973
202,52
203,26
204,0
205,0
206,96
207,238
208,13
209,15
210,85
211,34
212,0
213,926
214,213
215,855
216,50
217,19
218,75
219,20
220,32
221,1375
222,0
223,1037
224,71
225,89
226,124
227,36
228,4
229,140
230,147
231,24
232,33
233,52
234,80
235,33
236,31
237,2
238,8
239,2
240,1055
241,0
242,1114
243,52
244,92
245,0
246,7
247,137
248,44
249,1144
250,967
251,215
252,35
253,1261
254,59
255,1411
256,162
257,1108
258,182
259,11
260,28
261,36
262,151
263,4
264,36
265,2
266,47
267,44
268,18
269,102
270,35
271,31
272,162
273,19
274,1453
275,37
276,2
277,28
278,7
279,150
280,87
281,1449
282,1173
283,218
284,241
285,18
286,1298
287,63
288,39
289,10
290,23
291,26
292,52
293,37
294,4
295,1246
296,277
297,10
298,0
299,2
300,1099
301,0
302,928
303,948
304,0
305,11
306,4
307,166
308,52
309,40
310,22
311,55
312,0
313,32
314,122
315,0
316,45
317,145
318,20
319,10
320,212
321,8
322,1794
323,50
324,6
325,101
326,0
327,89
328,1295
329,26
330,44
331,0
332,2
333,61
334,0
335,119
336,1211
337,59
338,23
339,63
340,1333
341,66
342,0
343,1151
344,7
345,97
346,146
347,22
348,102
349,188
350,985
351,6
352,30
353,46
354,60
355,41
356,129
357,90
358,1230
359,115
360,0
361,2
362,241
363,136
364,123
365,195
366,1154
367,93
368,162
369,16
370,18
371,1283
372,32
373,105
374,0
375,27
376,34
377,72
378,14
379,143
380,78
381,236
382,259
383,89
384,133
385,117
386,1154
387,128
388,70
389,40
390,133
391,191
392,39
393,181
394,36
395,63
396,746
397,68
398,1388
399,1089
400,30
401,22
402,1131
403,21
404,962
405,944
406,134
407,57
408,11
409,0
410,195
411,45
412,119
413,90
414,39
415,19
416,60
417,1066
418,22
419,68
420,168
421,63
422,1302
423,6
424,59
425,0
426,35
427,87
428,16
429,101
430,91
431,113
432,41
433,44
434,131
435,208
436,12
437,116
438,808
439,157
440,74
441,2
442,142
443,990
444,983
445,35
446,52
447,28
448,167
449,23
450,13
451,200
452,63
453,1104
454,195
455,0
456,743
457,14
458,39
459,25
460,8
461,34
462,0
463,0
464,2
465,820
466,17
467,137
468,24
469,70
470,0
471,107
472,13
473,299
474,149
475,90
476,1
477,97
478,212
479,46
480,2
481,1180
482,6
483,23
484,90
485,8
486,13
487,72
488,22
489,900
490,0
491,0
492,8
493,121
494,52
495,61
496,24
497,10
498,34
499,995
500,0
501,17
502,1072
503,20
504,13
505,150
506,0
507,1244
508,2
