Signature,AMM_Time,Average_MM_Size,Union_AMM_Size,Number_MM
0,NA,NA,NA,NA
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,538.3524947166443,4.0,4,1
4,NA,NA,NA,NA
5,411.5374753475189,0.0,0,1
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,410.93537306785583,35.333333333333336,38,3
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,NA,NA,NA,NA
12,NA,NA,NA,NA
13,NA,NA,NA,NA
14,NA,NA,NA,NA
15,NA,NA,NA,NA
16,NA,NA,NA,NA
17,NA,NA,NA,NA
18,NA,NA,NA,NA
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,NA,NA,NA,NA
28,NA,NA,NA,NA
29,NA,NA,NA,NA
30,483.73547649383545,14.0,17,3
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,512.2034788131714,3.0,3,1
44,NA,NA,NA,NA
45,409.816636800766,10.0,10,1
46,NA,NA,NA,NA
47,NA,NA,NA,NA
48,NA,NA,NA,NA
49,501.9155607223511,6.0,6,1
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,308.22097396850586,18.5,20,2
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,286.49553513526917,0.0,0,1
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,NA,NA,NA,NA
61,NA,NA,NA,NA
62,463.7167913913727,2.0,2,1
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,554.8625891208649,14.0,14,1
66,439.3864130973816,11.0,11,1
67,NA,NA,NA,NA
68,NA,NA,NA,NA
69,NA,NA,NA,NA
70,NA,NA,NA,NA
71,541.7969453334808,19.5,21,2
72,NA,NA,NA,NA
73,NA,NA,NA,NA
74,NA,NA,NA,NA
75,NA,NA,NA,NA
76,NA,NA,NA,NA
77,458.86491417884827,4.0,4,1
78,NA,NA,NA,NA
79,NA,NA,NA,NA
80,NA,NA,NA,NA
81,NA,NA,NA,NA
82,NA,NA,NA,NA
83,NA,NA,NA,NA
84,NA,NA,NA,NA
85,NA,NA,NA,NA
86,NA,NA,NA,NA
87,NA,NA,NA,NA
88,NA,NA,NA,NA
89,NA,NA,NA,NA
90,NA,NA,NA,NA
91,NA,NA,NA,NA
92,NA,NA,NA,NA
93,NA,NA,NA,NA
94,535.8830287456512,4.0,4,1
95,NA,NA,NA,NA
96,NA,NA,NA,NA
97,NA,NA,NA,NA
98,NA,NA,NA,NA
99,NA,NA,NA,NA
100,NA,NA,NA,NA
101,NA,NA,NA,NA
102,NA,NA,NA,NA
103,NA,NA,NA,NA
104,NA,NA,NA,NA
105,NA,NA,NA,NA
106,NA,NA,NA,NA
107,NA,NA,NA,NA
108,NA,NA,NA,NA
109,NA,NA,NA,NA
110,NA,NA,NA,NA
111,NA,NA,NA,NA
112,NA,NA,NA,NA
113,NA,NA,NA,NA
114,NA,NA,NA,NA
115,528.8168680667877,8.0,8,1
116,NA,NA,NA,NA
117,NA,NA,NA,NA
118,NA,NA,NA,NA
119,301.5582389831543,5.0,5,1
120,NA,NA,NA,NA
121,NA,NA,NA,NA
122,NA,NA,NA,NA
123,NA,NA,NA,NA
124,NA,NA,NA,NA
125,NA,NA,NA,NA
126,NA,NA,NA,NA
127,NA,NA,NA,NA
128,NA,NA,NA,NA
129,NA,NA,NA,NA
130,NA,NA,NA,NA
131,NA,NA,NA,NA
132,377.25886058807373,9.333333333333334,12,3
133,NA,NA,NA,NA
134,NA,NA,NA,NA
135,439.9645004272461,13.0,13,1
136,NA,NA,NA,NA
137,NA,NA,NA,NA
138,NA,NA,NA,NA
139,NA,NA,NA,NA
140,NA,NA,NA,NA
141,NA,NA,NA,NA
142,NA,NA,NA,NA
143,NA,NA,NA,NA
144,NA,NA,NA,NA
145,NA,NA,NA,NA
146,NA,NA,NA,NA
147,NA,NA,NA,NA
148,NA,NA,NA,NA
149,NA,NA,NA,NA
150,578.9088928699493,9.0,9,1
151,NA,NA,NA,NA
152,NA,NA,NA,NA
153,NA,NA,NA,NA
154,NA,NA,NA,NA
155,NA,NA,NA,NA
156,NA,NA,NA,NA
157,NA,NA,NA,NA
158,NA,NA,NA,NA
159,NA,NA,NA,NA
160,NA,NA,NA,NA
161,NA,NA,NA,NA
162,NA,NA,NA,NA
163,NA,NA,NA,NA
164,NA,NA,NA,NA
165,NA,NA,NA,NA
166,NA,NA,NA,NA
167,539.8031733036041,2.0,3,2
168,NA,NA,NA,NA
169,NA,NA,NA,NA
170,NA,NA,NA,NA
171,NA,NA,NA,NA
172,NA,NA,NA,NA
173,NA,NA,NA,NA
174,NA,NA,NA,NA
175,NA,NA,NA,NA
176,NA,NA,NA,NA
177,NA,NA,NA,NA
178,NA,NA,NA,NA
179,NA,NA,NA,NA
180,469.3306338787079,10.0,12,2
181,NA,NA,NA,NA
182,NA,NA,NA,NA
183,NA,NA,NA,NA
184,NA,NA,NA,NA
185,NA,NA,NA,NA
186,NA,NA,NA,NA
187,NA,NA,NA,NA
188,NA,NA,NA,NA
189,496.2968912124634,2.0,2,1
190,NA,NA,NA,NA
191,NA,NA,NA,NA
192,NA,NA,NA,NA
193,NA,NA,NA,NA
194,NA,NA,NA,NA
195,NA,NA,NA,NA
196,NA,NA,NA,NA
197,NA,NA,NA,NA
198,531.6237986087799,4.0,4,1
199,NA,NA,NA,NA
200,NA,NA,NA,NA
201,NA,NA,NA,NA
202,539.0203659534454,7.0,7,1
203,NA,NA,NA,NA
204,497.1868724822998,9.5,11,2
205,NA,NA,NA,NA
206,NA,NA,NA,NA
207,NA,NA,NA,NA
208,NA,NA,NA,NA
209,379.96396017074585,4.0,4,1
210,NA,NA,NA,NA
211,NA,NA,NA,NA
212,NA,NA,NA,NA
213,NA,NA,NA,NA
214,NA,NA,NA,NA
215,NA,NA,NA,NA
216,NA,NA,NA,NA
217,NA,NA,NA,NA
218,NA,NA,NA,NA
219,NA,NA,NA,NA
220,NA,NA,NA,NA
221,NA,NA,NA,NA
222,NA,NA,NA,NA
223,NA,NA,NA,NA
224,NA,NA,NA,NA
225,NA,NA,NA,NA
226,NA,NA,NA,NA
227,NA,NA,NA,NA
228,NA,NA,NA,NA
229,NA,NA,NA,NA
