Filename,Line Count
0.krss,539
1.krss,820
2.krss,864
3.krss,820
4.krss,903
5.krss,721
6.krss,766
7.krss,936
8.krss,665
9.krss,725
10.krss,908
11.krss,804
12.krss,779
13.krss,956
14.krss,886
15.krss,846
16.krss,777
17.krss,856
18.krss,658
19.krss,833
20.krss,849
21.krss,854
22.krss,842
23.krss,732
24.krss,770
25.krss,762
26.krss,750
27.krss,882
28.krss,946
29.krss,782
30.krss,710
31.krss,746
32.krss,835
33.krss,782
34.krss,859
35.krss,965
36.krss,831
37.krss,692
38.krss,612
39.krss,856
40.krss,694
41.krss,782
42.krss,917
43.krss,690
44.krss,649
45.krss,697
46.krss,755
47.krss,775
48.krss,873
49.krss,699
50.krss,745
51.krss,877
52.krss,910
53.krss,708
54.krss,782
55.krss,836
56.krss,693
57.krss,758
58.krss,948
59.krss,668
60.krss,831
61.krss,727
62.krss,790
63.krss,836
64.krss,805
65.krss,741
66.krss,716
67.krss,854
68.krss,794
69.krss,764
70.krss,991
71.krss,744
72.krss,1030
73.krss,719
74.krss,792
75.krss,910
76.krss,825
77.krss,704
78.krss,618
79.krss,780
80.krss,904
81.krss,879
82.krss,799
83.krss,870
84.krss,751
85.krss,835
86.krss,717
87.krss,890
88.krss,742
89.krss,853
90.krss,842
91.krss,790
92.krss,754
93.krss,788
94.krss,863
95.krss,980
96.krss,990
97.krss,706
98.krss,885
99.krss,761
100.krss,700
101.krss,637
102.krss,768
103.krss,882
104.krss,765
105.krss,898
106.krss,739
107.krss,747
108.krss,702
109.krss,853
110.krss,795
111.krss,851
112.krss,711
113.krss,730
114.krss,830
115.krss,707
116.krss,770
117.krss,873
118.krss,880
119.krss,602
120.krss,791
121.krss,783
122.krss,861
123.krss,989
124.krss,904
125.krss,842
126.krss,840
127.krss,859
128.krss,910
129.krss,845
130.krss,905
131.krss,796
132.krss,740
133.krss,872
134.krss,706
135.krss,527
136.krss,949
137.krss,701
138.krss,666
139.krss,747
140.krss,749
141.krss,762
142.krss,965
143.krss,1071
144.krss,893
145.krss,799
146.krss,770
147.krss,973
148.krss,678
149.krss,699
150.krss,760
151.krss,938
152.krss,910
153.krss,854
154.krss,892
155.krss,813
156.krss,836
157.krss,711
158.krss,876
159.krss,753
160.krss,848
161.krss,840
162.krss,985
163.krss,711
164.krss,1031
165.krss,781
166.krss,801
167.krss,822
168.krss,855
169.krss,811
170.krss,924
171.krss,919
172.krss,1009
173.krss,913
174.krss,917
175.krss,687
176.krss,758
177.krss,912
178.krss,781
179.krss,867
180.krss,771
181.krss,898
182.krss,788
183.krss,905
184.krss,813
185.krss,902
186.krss,796
187.krss,846
188.krss,899
189.krss,603
190.krss,667
191.krss,953
192.krss,811
193.krss,688
194.krss,896
195.krss,827
196.krss,752
197.krss,758
198.krss,762
199.krss,837
200.krss,829
201.krss,846
202.krss,704
203.krss,790
204.krss,703
205.krss,752
206.krss,958
207.krss,840
208.krss,934
209.krss,695
210.krss,911
211.krss,928
212.krss,808
213.krss,734
214.krss,792
215.krss,915
216.krss,932
217.krss,785
218.krss,802
219.krss,742
220.krss,695
221.krss,1024
222.krss,866
223.krss,735
224.krss,900
225.krss,842
226.krss,838
227.krss,5
228.krss,839
229.krss,752
230.krss,841
231.krss,19
232.krss,925
233.krss,868
234.krss,900
235.krss,781
236.krss,841
237.krss,815
238.krss,959
239.krss,756
240.krss,893
241.krss,735
242.krss,918
243.krss,653
244.krss,809
245.krss,927
246.krss,664
247.krss,1025
248.krss,708
249.krss,752
250.krss,936
251.krss,869
252.krss,717
253.krss,984
254.krss,1117
255.krss,938
256.krss,550
257.krss,705
258.krss,800
259.krss,777
260.krss,884
261.krss,785
262.krss,1007
263.krss,775
264.krss,1056
265.krss,840
266.krss,894
267.krss,934
268.krss,824
269.krss,855
270.krss,778
271.krss,860
272.krss,842
273.krss,820
274.krss,885
275.krss,772
276.krss,766
277.krss,921
278.krss,955
279.krss,777
280.krss,753
281.krss,942
282.krss,803
283.krss,848
284.krss,748
285.krss,724
286.krss,906
287.krss,886
288.krss,844
289.krss,833
290.krss,877
291.krss,987
292.krss,847
293.krss,721
294.krss,901
295.krss,946
296.krss,739
297.krss,769
298.krss,712
299.krss,981
300.krss,713
301.krss,962
302.krss,733
303.krss,751
304.krss,875
305.krss,653
306.krss,967
307.krss,744
308.krss,782
309.krss,860
310.krss,928
311.krss,779
312.krss,775
313.krss,872
314.krss,637
315.krss,967
316.krss,892
317.krss,758
318.krss,952
319.krss,769
320.krss,801
321.krss,836
322.krss,1180
323.krss,715
324.krss,785
325.krss,868
326.krss,968
327.krss,990
328.krss,1141
329.krss,735
330.krss,830
331.krss,857
332.krss,845
333.krss,747
334.krss,958
335.krss,785
336.krss,647
337.krss,944
338.krss,905
339.krss,768
340.krss,700
341.krss,810
342.krss,1114
343.krss,787
344.krss,829
345.krss,839
346.krss,592
347.krss,738
348.krss,944
349.krss,901
350.krss,761
351.krss,626
352.krss,626
353.krss,566
354.krss,830
355.krss,731
356.krss,761
357.krss,859
358.krss,883
359.krss,867
360.krss,1048
361.krss,896
362.krss,867
363.krss,547
364.krss,924
365.krss,611
366.krss,746
367.krss,859
368.krss,767
369.krss,761
370.krss,631
371.krss,921
372.krss,930
373.krss,950
374.krss,679
375.krss,970
376.krss,734
377.krss,634
378.krss,662
379.krss,938
380.krss,835
381.krss,876
382.krss,909
383.krss,978
384.krss,576
385.krss,883
386.krss,804
387.krss,858
388.krss,762
389.krss,819
390.krss,864
391.krss,797
392.krss,893
393.krss,871
394.krss,736
395.krss,868
396.krss,572
397.krss,921
398.krss,915
399.krss,932
400.krss,708
401.krss,825
402.krss,862
403.krss,878
404.krss,720
405.krss,761
406.krss,747
407.krss,1009
408.krss,837
409.krss,900
410.krss,707
411.krss,981
412.krss,786
413.krss,774
414.krss,874
415.krss,733
416.krss,556
417.krss,813
418.krss,676
419.krss,888
420.krss,540
421.krss,706
422.krss,919
423.krss,916
424.krss,1034
425.krss,704
426.krss,717
427.krss,829
428.krss,802
429.krss,999
430.krss,864
431.krss,755
432.krss,1013
433.krss,972
434.krss,614
435.krss,821
436.krss,749
437.krss,770
438.krss,634
439.krss,646
440.krss,573
441.krss,835
442.krss,619
443.krss,721
444.krss,702
445.krss,698
446.krss,982
447.krss,651
448.krss,906
449.krss,828
450.krss,759
451.krss,699
452.krss,725
453.krss,754
454.krss,854
455.krss,591
456.krss,637
457.krss,740
458.krss,780
459.krss,941
460.krss,985
461.krss,821
462.krss,919
463.krss,774
464.krss,971
465.krss,531
466.krss,708
467.krss,834
468.krss,864
469.krss,921
470.krss,684
471.krss,693
472.krss,729
473.krss,939
474.krss,900
475.krss,795
476.krss,876
477.krss,800
478.krss,972
479.krss,904
480.krss,618
481.krss,911
482.krss,749
483.krss,897
484.krss,828
485.krss,742
486.krss,786
487.krss,689
488.krss,777
489.krss,722
490.krss,767
491.krss,784
492.krss,584
493.krss,737
494.krss,658
495.krss,918
496.krss,707
497.krss,613
498.krss,916
499.krss,636
500.krss,828
501.krss,835
502.krss,895
503.krss,931
504.krss,777
505.krss,816
506.krss,820
507.krss,806
508.krss,838
509.krss,806
510.krss,993
511.krss,839
512.krss,847
513.krss,886
514.krss,676
515.krss,912
516.krss,780
517.krss,848
518.krss,992
519.krss,640
520.krss,842
521.krss,756
522.krss,863
523.krss,714
524.krss,653
525.krss,928
526.krss,674
527.krss,541
528.krss,840
529.krss,1040
530.krss,752
531.krss,844
532.krss,900
533.krss,733
534.krss,722
535.krss,642
536.krss,786
537.krss,690
538.krss,859
539.krss,821
540.krss,779
541.krss,938
542.krss,884
543.krss,869
544.krss,665
545.krss,884
546.krss,700
547.krss,925
548.krss,788
549.krss,826
550.krss,875
551.krss,825
552.krss,745
553.krss,865
554.krss,774
555.krss,778
556.krss,845
557.krss,813
558.krss,886
559.krss,894
560.krss,951
561.krss,944
562.krss,786
563.krss,688
564.krss,745
565.krss,952
566.krss,864
567.krss,743
568.krss,913
569.krss,753
570.krss,608
571.krss,973
572.krss,915
573.krss,1060
574.krss,973
575.krss,874
576.krss,818
577.krss,928
578.krss,785
579.krss,749
580.krss,716
581.krss,717
582.krss,703
583.krss,775
584.krss,927
585.krss,813
586.krss,816
587.krss,918
588.krss,726
589.krss,771
590.krss,820
591.krss,653
592.krss,683
593.krss,898
594.krss,1007
595.krss,703
596.krss,855
597.krss,877
598.krss,830
599.krss,769
600.krss,843
601.krss,778
602.krss,462
603.krss,878
604.krss,840
605.krss,771
606.krss,922
607.krss,730
608.krss,812
609.krss,711
610.krss,790
611.krss,646
612.krss,810
613.krss,953
614.krss,716
615.krss,889
616.krss,731
617.krss,532
618.krss,837
619.krss,834
620.krss,873
621.krss,859
622.krss,691
623.krss,802
624.krss,804
625.krss,723
626.krss,906
627.krss,850
628.krss,755
629.krss,960
630.krss,844
631.krss,759
632.krss,744
633.krss,847
634.krss,715
635.krss,742
636.krss,883
637.krss,649
638.krss,875
639.krss,877
640.krss,787
641.krss,840
642.krss,843
643.krss,903
644.krss,858
645.krss,852
646.krss,1022
647.krss,862
648.krss,722
649.krss,812
650.krss,790
651.krss,745
652.krss,860
653.krss,709
654.krss,859
655.krss,815
656.krss,953
657.krss,826
658.krss,858
659.krss,757
660.krss,738
661.krss,685
662.krss,770
663.krss,791
664.krss,947
665.krss,817
666.krss,793
667.krss,709
668.krss,769
669.krss,813
670.krss,847
671.krss,870
672.krss,716
673.krss,663
674.krss,833
675.krss,696
676.krss,844
677.krss,864
678.krss,815
679.krss,780
680.krss,816
681.krss,776
682.krss,779
683.krss,859
684.krss,957
685.krss,835
686.krss,902
687.krss,760
688.krss,866
689.krss,788
690.krss,926
691.krss,891
692.krss,728
693.krss,702
694.krss,838
695.krss,966
696.krss,854
697.krss,725
698.krss,778
699.krss,1127
700.krss,706
701.krss,793
702.krss,885
703.krss,869
704.krss,836
705.krss,833
706.krss,739
707.krss,834
708.krss,873
709.krss,932
710.krss,740
711.krss,496
712.krss,756
713.krss,750
714.krss,996
715.krss,7
716.krss,802
717.krss,921
718.krss,920
719.krss,639
720.krss,862
721.krss,867
722.krss,721
723.krss,846
724.krss,865
725.krss,720
726.krss,708
727.krss,1022
728.krss,932
729.krss,742
730.krss,895
731.krss,783
732.krss,749
733.krss,847
734.krss,883
735.krss,725
736.krss,654
737.krss,824
738.krss,806
739.krss,778
740.krss,939
741.krss,746
742.krss,808
743.krss,868
744.krss,744
745.krss,762
746.krss,820
747.krss,941
748.krss,816
749.krss,749
750.krss,745
751.krss,848
752.krss,787
753.krss,805
754.krss,753
755.krss,781
756.krss,932
757.krss,831
758.krss,752
759.krss,831
760.krss,722
761.krss,805
762.krss,832
763.krss,858
764.krss,596
765.krss,946
766.krss,799
767.krss,709
768.krss,883
769.krss,910
770.krss,885
771.krss,606
772.krss,986
773.krss,970
774.krss,903
775.krss,846
776.krss,908
777.krss,712
778.krss,680
779.krss,812
780.krss,944
781.krss,915
782.krss,908
783.krss,794
784.krss,692
785.krss,818
786.krss,980
787.krss,757
788.krss,472
789.krss,867
790.krss,885
791.krss,588
792.krss,672
793.krss,716
794.krss,796
795.krss,885
796.krss,788
797.krss,951
798.krss,896
799.krss,874
800.krss,869
801.krss,803
802.krss,929
803.krss,834
804.krss,930
805.krss,842
806.krss,813
807.krss,700
808.krss,977
809.krss,817
810.krss,855
811.krss,785
812.krss,831
813.krss,937
814.krss,734
815.krss,852
816.krss,981
817.krss,718
818.krss,776
819.krss,849
820.krss,892
821.krss,920
822.krss,865
823.krss,1020
824.krss,927
825.krss,809
826.krss,972
827.krss,873
828.krss,845
829.krss,823
830.krss,619
831.krss,878
832.krss,718
833.krss,784
834.krss,702
835.krss,962
836.krss,775
837.krss,939
838.krss,746
839.krss,726
840.krss,951
841.krss,773
842.krss,844
843.krss,870
844.krss,868
845.krss,746
846.krss,976
847.krss,873
848.krss,848
849.krss,783
850.krss,891
851.krss,825
852.krss,763
853.krss,787
854.krss,703
855.krss,773
856.krss,665
857.krss,659
858.krss,799
859.krss,751
860.krss,868
861.krss,713
862.krss,739
863.krss,914
864.krss,628
865.krss,920
866.krss,634
867.krss,933
868.krss,705
869.krss,912
870.krss,742
871.krss,970
872.krss,976
873.krss,694
874.krss,807
875.krss,948
876.krss,956
877.krss,681
878.krss,920
879.krss,776
880.krss,896
881.krss,661
882.krss,822
883.krss,931
884.krss,825
885.krss,881
886.krss,840
887.krss,544
888.krss,771
889.krss,758
890.krss,744
891.krss,877
892.krss,828
893.krss,852
894.krss,728
895.krss,885
896.krss,889
897.krss,781
898.krss,860
899.krss,753
900.krss,685
901.krss,855
902.krss,848
903.krss,736
904.krss,735
905.krss,659
906.krss,732
907.krss,775
908.krss,870
909.krss,873
910.krss,862
911.krss,914
912.krss,767
913.krss,840
914.krss,654
915.krss,842
916.krss,770
917.krss,802
918.krss,809
919.krss,698
920.krss,955
921.krss,953
922.krss,891
923.krss,1071
924.krss,810
925.krss,841
926.krss,831
927.krss,886
928.krss,737
929.krss,821
930.krss,745
931.krss,715
932.krss,638
933.krss,968
934.krss,768
935.krss,791
936.krss,706
937.krss,962
938.krss,843
939.krss,788
940.krss,822
941.krss,796
942.krss,690
943.krss,878
944.krss,802
945.krss,737
946.krss,613
947.krss,922
948.krss,975
949.krss,866
950.krss,840
951.krss,821
952.krss,797
953.krss,748
954.krss,878
955.krss,865
956.krss,917
957.krss,785
958.krss,727
959.krss,769
960.krss,969
961.krss,805
962.krss,690
963.krss,881
964.krss,730
965.krss,965
966.krss,808
967.krss,962
968.krss,800
969.krss,863
970.krss,819
971.krss,870
972.krss,880
973.krss,829
974.krss,691
975.krss,852
976.krss,965
977.krss,841
978.krss,877
979.krss,876
980.krss,894
981.krss,820
982.krss,700
983.krss,760
984.krss,660
985.krss,796
986.krss,892
987.krss,922
988.krss,846
989.krss,705
990.krss,780
991.krss,668
992.krss,771
993.krss,861
994.krss,774
995.krss,808
996.krss,709
997.krss,985
998.krss,858
999.krss,802
