Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,15.0,15,1
1,NA,NA,NA
2,8.0,12,4
3,NA,NA,NA
4,NA,NA,NA
5,0.0,0,1
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
9,3.0,3,1
10,2.0,2,1
11,NA,NA,NA
12,6.9,25,20
13,2.0,2,1
14,8.0,8,1
15,NA,NA,NA
16,NA,NA,NA
17,20.5,30,18
18,8.0,9,2
19,10.5,15,4
20,NA,NA,NA
21,26.5,34,8
22,6.0,6,1
23,1.0,1,1
24,NA,NA,NA
25,NA,NA,NA
26,2.0,4,3
27,4.0,4,1
28,4.0,4,1
29,NA,NA,NA
30,14.0,19,3
31,9.0,10,2
32,0.0,0,1
33,2.0,2,1
34,4.0,4,1
35,0.0,0,1
36,NA,NA,NA
37,8.0,10,4
38,7.0,8,2
39,NA,NA,NA
40,8.25,21,16
41,3.0,3,1
42,7.0,7,1
43,3.0,3,1
44,2.0,2,1
45,10.0,10,1
46,NA,NA,NA
47,NA,NA,NA
48,NA,NA,NA
49,6.0,6,1
50,5.0,5,1
51,9.0,9,1
52,2.0,3,2
53,17.75,24,16
54,NA,NA,NA
55,2.0,2,1
56,0.0,0,1
57,11.0,11,1
58,0.0,0,1
59,0.0,0,1
60,11.0,12,2
61,2.0,2,1
62,2.0,2,1
63,12.0,12,1
64,NA,NA,NA
65,NA,NA,NA
66,NA,NA,NA
67,0.0,0,1
68,NA,NA,NA
69,NA,NA,NA
70,2.0,2,1
71,16.5,21,16
72,7.0,7,1
73,7.0,11,3
74,6.0,6,1
75,4.0,4,1
76,NA,NA,NA
77,4.0,4,1
78,NA,NA,NA
79,0.0,0,1
80,13.0,24,5
81,NA,NA,NA
82,14.0,15,2
83,NA,NA,NA
84,NA,NA,NA
85,NA,NA,NA
86,2.0,2,1
87,6.0,6,1
88,4.0,4,1
89,NA,NA,NA
90,NA,NA,NA
91,NA,NA,NA
92,7.0,7,1
93,2.0,2,1
94,NA,NA,NA
95,11.0,22,18
96,2.0,2,1
97,9.0,16,8
98,4.0,4,1
99,2.0,2,1
100,NA,NA,NA
101,4.0,4,1
