Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,15.0,15,1
1,8.0,8,1
2,8.0,12,4
3,4.0,4,1
4,NA,NA,NA
5,0.0,0,1
6,NA,NA,NA
7,5.0,7,4
8,20.333333333333332,25,12
9,3.0,3,1
10,2.0,2,1
11,NA,NA,NA
12,6.9,25,20
13,2.0,2,1
14,8.0,8,1
15,19.0,19,1
16,11.0,12,2
17,20.5,30,18
18,8.0,9,2
19,10.5,15,4
20,17.5,21,8
21,26.5,34,8
22,6.0,6,1
23,1.0,1,1
24,NA,NA,NA
25,77.16666666666667,120,4320
26,2.0,4,3
27,4.0,4,1
28,4.0,4,1
29,NA,NA,NA
30,14.0,19,3
31,9.0,10,2
32,0.0,0,1
33,2.0,2,1
34,4.0,4,1
35,0.0,0,1
36,11.0,11,1
37,8.0,10,4
38,7.0,8,2
39,16.0,17,2
40,8.25,21,16
41,3.0,3,1
42,7.0,7,1
43,3.0,3,1
44,2.0,2,1
45,10.0,10,1
46,NA,NA,NA
47,20.0,27,128
48,17.0,18,2
49,6.0,6,1
50,5.0,5,1
51,9.0,9,1
52,2.0,3,2
53,17.75,24,16
54,6.0,7,2
55,2.0,2,1
56,0.0,0,1
57,11.0,11,1
58,0.0,0,1
59,0.0,0,1
60,11.0,12,2
61,2.0,2,1
62,2.0,2,1
63,12.0,12,1
64,12.0,13,2
65,14.0,14,1
66,11.0,11,1
67,0.0,0,1
68,16.0,16,1
69,5.0,5,1
70,2.0,2,1
71,16.5,21,16
72,7.0,7,1
73,7.0,11,3
74,6.0,6,1
75,4.0,4,1
76,NA,NA,NA
77,4.0,4,1
78,NA,NA,NA
79,0.0,0,1
80,13.0,24,5
81,NA,NA,NA
82,14.0,15,2
83,4.0,4,1
84,10.0,10,1
85,24.5,27,2
86,2.0,2,1
87,6.0,6,1
88,4.0,4,1
89,19.5,22,4
90,20.0,25,8
91,14.0,18,16
92,7.0,7,1
93,2.0,2,1
94,4.0,4,1
95,11.0,22,18
96,2.0,2,1
97,9.0,16,8
98,4.0,4,1
99,2.0,2,1
100,12.0,13,2
101,4.0,4,1
102,2.0,3,2
103,16.0,27,40
104,9.333333333333334,16,12
105,18.0,19,2
106,15.0,15,1
107,12.0,13,2
108,13.0,13,1
109,2.5,5,2
110,2.0,2,1
111,NA,NA,NA
112,NA,NA,NA
113,NA,NA,NA
114,7.0,9,4
115,8.0,8,1
116,12.0,12,1
117,15.5,19,4
118,NA,NA,NA
119,5.0,5,1
120,5.0,6,2
121,3.0,3,1
122,6.0,7,2
123,NA,NA,NA
124,3.0,3,1
125,4.0,4,1
126,NA,NA,NA
127,21.0,28,128
128,13.0,13,1
129,8.0,8,1
130,6.0,6,1
131,19.0,19,1
132,10.5,21,12
133,NA,NA,NA
134,5.0,5,1
135,13.0,13,1
136,2.0,2,1
137,NA,NA,NA
138,12.0,12,1
139,7.25,18,16
140,7.0,7,1
141,4.0,4,1
142,9.0,10,2
143,NA,NA,NA
144,6.0,7,2
145,6.0,7,2
146,10.0,11,2
147,5.0,5,1
148,9.5,11,2
149,NA,NA,NA
150,8.0,9,2
151,NA,NA,NA
152,7.0,7,1
153,5.0,6,2
154,NA,NA,NA
155,NA,NA,NA
156,NA,NA,NA
157,11.5,17,8
158,2.0,2,1
159,10.0,11,2
160,2.0,2,1
161,4.0,5,2
162,NA,NA,NA
163,9.5,12,4
164,0.0,0,1
165,10.0,10,1
166,1.0,1,1
167,2.0,3,2
168,9.5,12,2
169,10.0,12,3
170,0.0,0,1
171,13.833333333333334,30,36
172,NA,NA,NA
173,26.0,26,1
174,12.5,18,32
175,NA,NA,NA
176,7.0,7,1
177,8.0,8,1
178,2.0,2,1
179,0.0,0,1
180,9.0,14,6
181,3.0,3,1
182,NA,NA,NA
183,0.0,0,1
184,7.0,7,1
185,12.0,12,1
186,4.0,5,2
187,11.0,11,1
188,2.0,2,1
189,2.0,2,1
190,7.0,7,1
191,6.0,7,2
192,3.0,3,1
193,7.0,7,1
194,NA,NA,NA
195,4.0,4,1
196,9.0,9,1
197,6.0,6,1
198,4.0,4,1
199,1.0,1,1
200,6.5,9,2
201,NA,NA,NA
202,7.0,7,1
203,13.0,13,1
204,0.0,0,1
205,0.0,0,1
206,18.833333333333332,30,48
207,12.0,12,1
208,2.0,3,2
209,4.0,4,1
210,10.0,10,1
211,12.0,13,2
212,2.0,2,1
213,NA,NA,NA
214,13.5,15,2
215,NA,NA,NA
216,7.0,10,6
217,4.0,4,1
218,20.5,27,12
219,2.0,3,2
220,19.133333333333333,36,45
221,NA,NA,NA
222,8.0,8,1
223,NA,NA,NA
224,3.0,3,1
225,41.75,63,512
226,24.866666666666667,55,60
227,5.0,5,1
228,2.0,2,1
229,13.0,17,4
230,17.0,27,12
231,5.5,8,2
232,5.0,5,1
233,7.5,9,2
234,28.63888888888889,55,288
235,8.0,8,1
236,6.0,7,2
237,2.0,2,1
238,10.0,10,1
239,2.0,2,1
240,NA,NA,NA
241,0.0,0,1
242,NA,NA,NA
243,4.0,4,1
244,27.5,32,16
245,2.0,2,1
246,1.0,1,1
247,9.0,11,4
248,10.0,10,1
249,NA,NA,NA
250,NA,NA,NA
251,16.666666666666668,19,3
252,NA,NA,NA
253,NA,NA,NA
254,4.0,4,1
255,NA,NA,NA
256,58.16637630662021,127,36736
257,NA,NA,NA
258,18.0,23,4
259,4.0,4,1
260,5.0,5,1
261,7.0,7,1
262,19.0,19,1
263,4.0,4,1
264,5.5,9,4
265,2.0,2,1
266,6.0,6,1
267,7.7,19,20
268,2.0,2,1
269,18.535714285714285,57,1008
270,8.0,9,2
271,11.0,12,2
272,8.0,9,2
273,3.0,3,1
274,NA,NA,NA
275,7.5,10,2
276,2.0,2,1
277,3.0,3,1
278,4.0,4,1
279,16.0,18,2
280,9.0,9,1
281,NA,NA,NA
282,NA,NA,NA
283,13.0,14,2
284,NA,NA,NA
285,4.0,4,1
286,NA,NA,NA
287,3.0,3,1
288,3.0,3,1
289,5.0,5,1
290,13.25,22,8
291,6.5,8,2
292,12.0,13,2
293,3.0,3,1
294,2.0,2,1
295,NA,NA,NA
296,16.5,20,4
297,20.5,23,2
298,0.0,0,1
299,5.0,6,2
300,NA,NA,NA
301,0.0,0,1
302,NA,NA,NA
303,NA,NA,NA
304,0.0,0,1
305,4.0,4,1
306,2.0,2,1
307,6.0,7,2
308,22.146341463414632,72,41
309,9.0,9,1
310,3.0,4,2
311,16.0,17,2
312,1.0,1,1
313,2.0,2,1
314,4.0,4,1
315,8.0,8,1
316,23.25,33,8
317,8.0,12,16
318,2.0,2,1
319,3.0,3,1
320,15.0,16,2
321,2.0,2,1
322,NA,NA,NA
323,8.0,13,3
324,4.0,4,1
325,37.17777777777778,97,720
326,0.0,0,1
327,20.0,21,2
328,NA,NA,NA
329,6.0,6,1
330,11.0,11,1
331,0.0,0,1
332,2.0,2,1
333,5.0,5,1
334,0.0,0,1
335,3.0,4,2
336,NA,NA,NA
337,4.0,4,1
338,11.0,11,1
339,21.0,21,1
340,NA,NA,NA
341,4.0,5,2
342,0.0,0,1
343,NA,NA,NA
344,2.0,2,1
345,19.0,25,8
346,27.75,41,72
347,14.0,14,1
348,4.0,4,1
349,8.0,8,1
350,NA,NA,NA
351,6.0,6,1
352,3.0,3,1
353,9.0,9,1
354,2.0,2,1
355,13.0,13,1
356,23.5,30,6
357,14.0,14,1
358,NA,NA,NA
359,8.0,8,1
360,0.0,0,1
361,2.0,2,1
362,14.0,16,4
363,11.0,11,1
364,15.0,16,2
365,7.0,7,1
366,NA,NA,NA
367,31.94618395303327,116,1022
368,17.0,17,1
369,5.5,8,2
370,10.0,16,3
371,NA,NA,NA
372,4.0,4,1
373,28.7,40,10
374,NA,NA,NA
375,3.0,3,1
376,6.181818181818182,18,11
377,3.0,3,1
378,15.5,23,4
379,10.5,13,2
380,6.0,6,1
381,14.0,15,2
382,20.0,21,2
383,11.214285714285714,25,28
384,10.0,10,1
385,7.0,7,1
386,NA,NA,NA
387,14.5,17,2
388,20.0,21,2
389,8.0,8,1
390,15.5,23,12
391,28.0,39,32
392,6.0,6,1
393,NA,NA,NA
394,7.333333333333333,11,3
395,5.0,5,1
