Signature,Semantic Superset,Complete Superset
0,True,False
1,NA,NA
2,True,False
3,NA,NA
4,NA,NA
5,True,True
6,NA,NA
7,NA,NA
8,NA,NA
9,True,True
10,True,False
11,NA,NA
12,True,False
13,True,True
14,True,True
15,NA,NA
16,NA,NA
17,True,False
18,True,False
19,True,False
20,NA,NA
21,True,False
22,True,True
23,True,True
24,NA,NA
25,NA,NA
26,True,True
27,True,True
28,True,True
29,NA,NA
30,True,True
31,True,False
32,True,True
33,True,True
34,True,True
35,True,True
36,NA,NA
37,True,False
38,True,True
39,NA,NA
40,True,True
41,True,True
42,True,True
43,True,True
44,True,True
45,True,True
46,NA,NA
47,NA,NA
48,NA,NA
49,True,True
50,True,False
51,True,True
52,True,True
53,True,False
54,NA,NA
55,True,True
56,True,True
57,True,False
58,True,True
59,True,True
60,True,True
61,True,True
62,True,False
63,True,True
64,NA,NA
65,NA,NA
66,NA,NA
67,True,True
68,NA,NA
69,NA,NA
70,True,False
71,True,False
72,True,False
73,True,True
74,True,False
75,True,True
76,NA,NA
77,True,True
78,NA,NA
79,True,True
80,True,False
81,NA,NA
82,True,False
83,NA,NA
84,NA,NA
85,NA,NA
86,True,True
87,True,True
88,True,True
89,NA,NA
90,NA,NA
91,NA,NA
92,True,True
93,True,True
94,NA,NA
95,True,False
96,True,True
97,True,False
98,True,True
99,True,True
100,NA,NA
101,True,True
102,True,True
103,NA,NA
104,True,False
105,NA,NA
106,NA,NA
107,True,False
108,True,True
109,True,True
110,True,True
111,NA,NA
112,NA,NA
113,NA,NA
114,NA,NA
115,True,True
116,NA,NA
117,True,True
118,NA,NA
119,True,True
120,True,False
121,NA,NA
122,True,False
123,NA,NA
124,True,True
125,True,True
126,NA,NA
127,NA,NA
128,True,True
129,True,False
130,True,True
131,NA,NA
132,True,False
133,NA,NA
134,True,True
135,NA,NA
136,True,False
137,NA,NA
138,True,True
139,True,True
140,True,False
141,True,True
142,True,True
143,NA,NA
144,True,True
145,True,True
146,True,False
147,True,False
148,True,False
149,NA,NA
150,True,False
151,NA,NA
152,NA,NA
153,True,True
154,NA,NA
155,NA,NA
156,NA,NA
157,True,False
158,True,True
159,True,True
160,True,True
161,True,True
162,NA,NA
163,NA,NA
164,True,True
165,True,True
166,True,True
167,True,True
168,True,True
169,True,False
170,True,True
171,NA,NA
172,NA,NA
173,NA,NA
174,NA,NA
175,NA,NA
176,NA,NA
177,True,True
178,True,True
179,True,True
180,True,True
181,True,True
182,NA,NA
183,True,True
184,NA,NA
185,True,True
186,True,False
187,True,True
188,True,True
189,True,True
190,True,True
191,True,True
192,True,True
193,NA,NA
194,NA,NA
195,True,True
196,NA,NA
197,True,True
198,True,True
199,True,True
200,True,True
201,NA,NA
202,True,True
203,True,True
204,True,True
205,True,True
206,True,False
207,NA,NA
208,True,True
209,True,True
210,True,False
211,True,True
212,True,False
213,NA,NA
214,NA,NA
215,NA,NA
216,True,False
217,True,True
218,NA,NA
219,True,True
220,True,True
221,NA,NA
222,True,False
223,NA,NA
224,True,True
225,True,False
226,True,True
227,True,True
228,True,True
229,NA,NA
230,NA,NA
231,True,True
232,True,False
233,NA,NA
234,True,True
235,True,True
236,True,True
237,True,True
238,True,False
239,True,True
240,NA,NA
241,True,True
242,NA,NA
243,True,True
244,NA,NA
245,True,False
246,True,True
247,True,False
248,True,True
249,NA,NA
250,NA,NA
251,NA,NA
252,NA,NA
253,NA,NA
254,True,True
255,NA,NA
256,NA,NA
257,NA,NA
258,NA,NA
259,True,True
260,True,True
261,True,True
262,True,True
263,True,True
264,True,True
265,True,True
266,True,True
267,True,False
268,True,True
269,True,False
270,True,True
271,True,True
272,NA,NA
273,True,True
274,NA,NA
275,True,True
276,True,True
277,True,True
278,True,True
279,NA,NA
280,True,False
281,NA,NA
282,NA,NA
283,NA,NA
284,NA,NA
285,True,True
286,NA,NA
287,True,True
288,True,True
289,True,False
290,True,False
291,True,True
292,True,False
293,True,True
294,True,True
295,NA,NA
296,NA,NA
297,True,False
298,True,True
299,NA,NA
300,NA,NA
301,True,True
302,NA,NA
303,NA,NA
304,True,True
305,True,True
306,True,True
307,NA,NA
308,True,True
309,True,True
310,True,True
311,True,False
312,True,False
313,True,True
314,NA,NA
315,NA,NA
316,True,False
317,NA,NA
318,True,True
319,True,True
320,NA,NA
321,True,True
322,NA,NA
323,True,False
324,True,True
325,True,False
326,True,True
327,True,True
328,NA,NA
329,True,True
330,True,True
331,True,True
332,True,True
333,True,True
334,True,True
335,NA,NA
336,NA,NA
337,True,True
338,True,False
339,NA,NA
340,NA,NA
341,True,True
342,True,True
343,NA,NA
344,True,True
345,NA,NA
346,True,False
347,True,False
348,NA,NA
349,NA,NA
350,NA,NA
351,True,False
352,True,True
353,True,True
354,True,True
355,True,True
356,NA,NA
357,True,True
358,NA,NA
359,True,True
360,True,True
361,True,True
362,NA,NA
363,NA,NA
364,True,False
365,NA,NA
366,NA,NA
367,True,False
368,NA,NA
369,True,True
370,True,True
371,NA,NA
372,True,True
373,True,True
374,NA,NA
375,True,True
376,True,True
377,True,True
378,True,False
379,NA,NA
380,True,True
381,NA,NA
382,NA,NA
383,True,False
384,NA,NA
385,True,True
386,NA,NA
387,True,False
388,True,False
389,True,True
390,True,False
391,NA,NA
392,True,False
393,NA,NA
394,True,False
395,True,True
396,NA,NA
397,True,True
398,NA,NA
399,NA,NA
400,True,True
401,True,True
402,NA,NA
403,True,False
404,NA,NA
405,NA,NA
406,True,True
407,True,True
408,True,True
409,True,True
410,NA,NA
411,True,False
412,NA,NA
413,True,False
414,True,True
415,True,False
416,True,False
417,NA,NA
418,True,False
419,True,False
420,NA,NA
421,True,True
422,NA,NA
423,True,True
424,True,True
425,True,True
426,True,True
427,True,False
428,True,True
429,NA,NA
430,True,True
431,True,True
432,True,False
433,True,True
434,NA,NA
435,NA,NA
436,True,False
437,True,False
438,NA,NA
439,NA,NA
